week,event key,key,comp level,match,blu adjust Points,blu auto Ownership Points,blu auto Points,blu auto Quest Ranking Point,blu auto Robot1,blu auto Robot2,blu auto Robot3,blu auto Run Points,blu auto Scale Ownership Sec,blu auto Switch At Zero,blu auto Switch Ownership Sec,blu endgame Points,blu endgame Robot1,blu endgame Robot2,blu endgame Robot3,blu face The Boss Ranking Point,blu foul Count,blu foul Points,blu rp,blu tech Foul Count,blu teleop Ownership Points,blu teleop Points,blu teleop Scale Boost Sec,blu teleop Scale Force Sec,blu teleop Scale Ownership Sec,blu teleop Switch Boost Sec,blu teleop Switch Force Sec,blu teleop Switch Ownership Sec,blu total Points,blu vault Boost Played,blu vault Boost Total,blu vault Force Played,blu vault Force Total,blu vault Levitate Played,blu vault Levitate Total,blu vault Points,blu tba game Data,red adjust Points,red auto Ownership Points,red auto Points,red auto Quest Ranking Point,red auto Robot1,red auto Robot2,red auto Robot3,red auto Run Points,red auto Scale Ownership Sec,red auto Switch At Zero,red auto Switch Ownership Sec,red endgame Points,red endgame Robot1,red endgame Robot2,red endgame Robot3,red face The Boss Ranking Point,red foul Count,red foul Points,red rp,red tech Foul Count,red teleop Ownership Points,red teleop Points,red teleop Scale Boost Sec,red teleop Scale Force Sec,red teleop Scale Ownership Sec,red teleop Switch Boost Sec,red teleop Switch Force Sec,red teleop Switch Ownership Sec,red total Points,red vault Boost Played,red vault Boost Total,red vault Force Played,red vault Force Total,red vault Levitate Played,red vault Levitate Total,red vault Points,red tba game Data,blu score,blu1,blu2,blu3,red score,red1,red2,red3
8,carv,carv_f1m1,f,1,0,30,45,0,1,1,1,15,5,1,10,90,C,L,C,0,0,0,0,0,157,292,0,10,11,10,0,136,337,1,3,2,3,3,3,45,LLL,0,22,37,0,1,1,1,15,1,1,10,90,L,C,C,0,0,0,0,0,242,347,0,0,127,0,0,115,384,0,0,0,0,3,3,15,LLL,337,341,4944,175,384,4499,2910,4911
8,carv,carv_f1m2,f,2,0,30,45,0,1,1,1,15,5,1,10,65,C,L,P,0,1,5,0,1,157,252,0,10,11,10,0,136,302,1,1,2,2,3,3,30,RLR,0,24,39,0,1,1,1,15,1,1,11,65,P,C,L,0,1,30,0,0,227,307,0,0,127,0,0,100,376,0,0,0,0,3,3,15,RLR,302,341,4944,1369,376,4499,2910,4911
8,carv,carv_qf1m1,qf,1,0,30,40,0,1,1,0,10,7,1,8,60,L,N,C,0,0,15,0,0,227,332,10,8,86,10,8,121,387,3,3,3,3,3,3,45,LLL,-319,20,35,0,1,1,1,15,0,1,10,65,L,C,P,0,3,0,0,0,184,284,0,10,38,10,0,136,0,1,2,2,2,3,3,35,LLL,387,6502,6800,342,0,4499,2910,4911
8,carv,carv_qf2m1,qf,1,0,36,51,0,1,1,1,15,9,1,9,30,N,L,N,0,1,0,0,1,163,238,0,10,27,0,0,136,289,2,3,2,3,3,3,45,LLL,0,16,31,0,1,1,1,15,0,1,8,60,C,L,N,0,0,30,0,0,261,366,9,10,106,10,10,136,427,3,3,3,3,3,3,45,LLL,289,744,343,5805,427,1421,5499,5987
8,carv,carv_qf3m1,qf,1,0,20,35,0,1,1,1,15,3,1,7,40,L,P,P,0,2,30,0,1,180,265,0,10,34,10,0,136,330,1,3,2,3,3,3,45,RRR,0,26,41,0,1,1,1,15,3,1,10,90,C,L,C,0,1,35,0,1,242,367,7,0,97,10,5,128,443,3,3,1,1,3,3,35,RRR,330,108,5026,1477,443,4265,1690,5803
8,carv,carv_qf4m1,qf,1,0,26,41,0,1,1,1,15,3,1,10,90,C,L,C,0,0,5,0,2,241,366,10,0,86,10,0,135,412,3,3,1,1,3,3,35,LLL,0,20,35,0,1,1,1,15,3,1,7,90,C,L,C,0,1,50,0,0,197,322,0,10,51,10,0,136,407,1,2,2,2,3,3,35,LLL,412,341,4944,175,407,4795,16,1425
8,carv,carv_qf1m2,qf,2,0,16,26,0,1,1,0,10,0,1,8,35,N,P,L,0,0,0,0,0,162,242,0,10,16,10,10,136,268,3,3,3,3,3,3,45,LLL,0,32,47,0,1,1,1,15,6,1,10,60,N,L,C,0,0,0,0,0,255,340,1,0,118,0,0,136,387,2,2,0,0,3,3,25,LLL,268,6502,6800,342,387,4499,2910,4911
8,carv,carv_qf2m2,qf,2,0,18,33,0,1,1,1,15,0,1,9,65,C,L,P,0,2,25,0,0,140,225,0,0,4,0,6,136,283,0,0,1,1,3,3,20,RRR,0,16,31,0,1,1,1,15,0,1,8,65,C,P,L,0,0,10,0,1,261,341,0,0,125,0,0,136,382,0,0,0,0,3,3,15,RRR,283,5805,343,1414,382,1421,5499,5987
8,carv,carv_qf3m2,qf,2,0,4,19,0,1,1,1,15,2,0,0,65,P,C,L,0,4,25,0,1,151,261,0,10,13,10,0,128,305,3,3,2,3,3,3,45,RLR,0,36,51,0,1,1,1,15,7,1,11,90,C,L,C,0,0,45,0,1,279,414,10,10,123,10,10,136,510,3,3,3,3,3,3,45,RLR,305,108,5026,1477,510,4265,1690,5803
8,carv,carv_qf4m2,qf,2,0,20,35,0,1,1,1,15,0,1,10,90,C,L,C,0,1,125,0,3,165,285,0,10,19,10,0,136,445,1,1,2,2,3,3,30,LRL,0,32,47,0,1,1,1,15,8,1,8,60,C,N,C,0,0,80,0,5,255,340,10,0,112,10,0,123,467,3,3,0,0,0,2,25,LRL,445,341,4944,175,467,4795,16,1425
