Team #,Avg DP,Avg Playoff DP (Tie 1),Best Playoff DP (Tie 2),Avg Alliance DP (Tie 3),Best Alliance DP (Tie 4),Avg Qual DP (Tie 5),Avg No Awards DP, Total DP, # of Events,Adjusted DP, Champs Registration
3357,71.5,30,30,15.5,16,21,66.5,286,4,108.3737345,Carson Division
2590,70.5,27.5,30,16,16,22,65.5,282,4,106.8580179,Tesla Division
1241,69.25,25,30,16,16,20.75,61.75,277,4,104.9633722,Tesla Division
1678,74.66666667,30,30,16,16,22,68,224,3,103.8157247,Newton Division
225,67.75,27.5,30,15.75,16,20.75,64,271,4,102.6897974,Carson Division
1796,73.66666667,30,30,16,16,21,67,221,3,102.4253355,Daly Division
319,67.5,27.5,30,15.5,16,20,63,270,4,102.3108682,Tesla Division
2481,73.33333333,30,30,16,16,20.66666667,66.66666667,220,3,101.9618725,Darwin Division
2046,67,25,30,15.5,16,20.25,60.75,268,4,101.55301,Turing Division
2767,73,30,30,16,16,22,68,219,3,101.4984094,Daly Division
1619,72.66666667,26.66666667,30,16,16,21.66666667,64.33333333,218,3,101.0349464,Newton Division
25,66.5,27.5,30,15.75,16,20.75,64,266,4,100.7951517,Carson Division
195,72.33333333,30,30,15.66666667,16,21.66666667,67.33333333,217,3,100.5714833,Curie Division
118,72,30,30,15.66666667,16,21.33333333,67,216,3,100.1080203,Newton Division
2056,71.33333333,26.66666667,30,16,16,22,64.66666667,214,3,99.18109415,Tesla Division
1325,65.25,22.5,30,15.25,16,19.25,57,261,4,98.90050596,Archimedes Division
1577,71,30,30,16,16,21.66666667,67.66666667,213,3,98.71763109,Galileo Division
2451,70.66666667,30,30,15.66666667,16,18.33333333,64,212,3,98.25416804,Darwin Division
2471,70.33333333,30,30,16,16,19.33333333,65.33333333,211,3,97.79070498,Turing Division
4003,70.33333333,30,30,15.33333333,16,20,65.33333333,211,3,97.79070498,Archimedes Division
1533,70,30,30,15.66666667,16,19.33333333,65,210,3,97.32724192,Turing Division
359,69.33333333,30,30,16,16,20,66,208,3,96.40031581,Hopper Division
2122,69.33333333,26.66666667,30,15.66666667,16,22,64.33333333,208,3,96.40031581,Turing Division
4917,69.33333333,30,30,15.33333333,16,20.66666667,66,208,3,96.40031581,Darwin Division
125,59.4,18,30,14.8,16,19.6,52.4,297,5,96.26700184,Darwin Division
67,63.5,25,30,15.25,16,20.75,61,254,4,96.24800197,Archimedes Division
302,63.25,25,30,14.5,16,18.75,58.25,253,4,95.86907283,Curie Division
3538,63,22.5,30,15.5,16,20,58,252,4,95.49014369,Curie Division
1425,67.66666667,26.66666667,30,15.66666667,16,22,64.33333333,203,3,94.08300052,Carver Division
4253,67.33333333,23.33333333,30,15.66666667,16,21.66666667,60.66666667,202,3,93.61953747,Carson Division
4910,67.33333333,23.33333333,30,15,16,20.66666667,59,202,3,93.61953747,Galileo Division
5406,67.33333333,26.66666667,30,15,16,20.66666667,62.33333333,202,3,93.61953747,Darwin Division
3452,66.66666667,26.66666667,30,15.33333333,16,19.66666667,61.66666667,200,3,92.69261135,Curie Division
16,75,30,30,16,16,21.5,67.5,150,2,92.335831,Carver Division
5883,75,30,30,16,16,21.5,67.5,150,2,92.335831,Darwin Division
3707,66.33333333,26.66666667,30,14.66666667,15,20,61.33333333,199,3,92.2291483,Curie Division
33,60.75,20,30,15.25,16,19.25,54.5,243,4,92.07978142,Daly Division
2337,60.75,20,30,14.75,16,19.75,54.5,243,4,92.07978142,Darwin Division
5687,60.75,22.5,30,14.75,16,19.75,57,243,4,92.07978142,Curie Division
1360,66,23.33333333,30,15.33333333,16,20.66666667,59.33333333,198,3,91.76568524,Tesla Division
303,60.5,22.5,30,14,16,20.25,56.75,242,4,91.70085227,Archimedes Division
3641,60.5,20,30,15,16,18,53,242,4,91.70085227,Tesla Division
230,60,20,30,15,16,20,55,240,4,90.94299399,Curie Division
1574,65.33333333,23.33333333,30,15.66666667,16,20.33333333,59.33333333,196,3,90.83875913,Galileo Division
2059,59.75,22.5,30,14.75,16,18.75,56,239,4,90.56406485,Turing Division
2642,64.66666667,23.33333333,30,14.66666667,16,19,57,194,3,89.91183301,Turing Division
254,73,30,30,16,16,22,68,146,2,89.87354217,Hopper Division
842,73,30,30,15.5,16,20,65.5,146,2,89.87354217,Turing Division
1259,73,30,30,16,16,22,68,146,2,89.87354217,Archimedes Division
3310,73,30,30,16,16,22,68,146,2,89.87354217,Newton Division
2557,64.33333333,20,30,14.66666667,16,19.66666667,54.33333333,193,3,89.44836996,Turing Division
217,59,20,30,15.75,16,20.75,56.5,236,4,89.42727742,Carson Division
5803,59,20,30,14.75,16,20.5,55.25,236,4,89.42727742,Carver Division
1323,72.5,30,30,16,16,21.5,67.5,145,2,89.25796997,Roebling Division
1648,58.75,25,30,14.25,16,17,56.25,235,4,89.04834828,Newton Division
1918,64,23.33333333,30,15,16,20.66666667,59,192,3,88.9849069,Carson Division
4539,72,30,30,16,16,21,67,144,2,88.64239776,Daly Division
5190,63.66666667,23.33333333,30,16,16,21,60.33333333,191,3,88.52144384,Galileo Division
133,63.33333333,23.33333333,30,15.33333333,16,21.33333333,60,190,3,88.05798079,Carson Division
624,63,23.33333333,30,14.66666667,16,20,58,189,3,87.59451773,Newton Division
1305,63,20,30,15.33333333,16,20,55.33333333,189,3,87.59451773,Daly Division
330,70.5,30,30,16,16,19.5,65.5,141,2,86.79568114,Galileo Division
238,57.25,22.5,30,12.5,16,18.5,53.5,229,4,86.77477343,Tesla Division
1885,62.33333333,23.33333333,30,13,16,17.66666667,54,187,3,86.66759162,Carson Division
2614,62,23.33333333,30,14.66666667,16,19,57,186,3,86.20412856,Tesla Division
179,70,30,30,15.5,16,22,67.5,140,2,86.18010893,Roebling Division
2811,56.75,20,30,14,16,16.5,50.5,227,4,86.01691515,Carver Division
494,61.66666667,23.33333333,30,16,16,19,58.33333333,185,3,85.7406655,Darwin Division
1629,61.66666667,16.66666667,30,16,16,20.66666667,53.33333333,185,3,85.7406655,Daly Division
1640,56.5,20,30,14.5,15,17,51.5,226,4,85.63798601,Carson Division
868,55.75,22.5,30,11.75,16,18.25,52.5,223,4,84.50119858,Archimedes Division
177,60.66666667,23.33333333,30,15,16,20.66666667,59,182,3,84.35027633,Darwin Division
4613,68.5,25,30,16,16,20,61,137,2,84.33339231,Galileo Division
4513,60.33333333,23.33333333,30,14.33333333,16,19.33333333,57,181,3,83.88681328,Newton Division
1318,55.25,17.5,30,14.25,16,19,50.75,221,4,83.7433403,Turing Division
4362,55.25,22.5,30,14.25,16,17.25,54,221,4,83.7433403,Daly Division
176,60,23.33333333,30,15.33333333,16,18,56.66666667,180,3,83.42335022,Darwin Division
399,60,23.33333333,30,14.33333333,16,15.66666667,53.33333333,180,3,83.42335022,Hopper Division
148,67.5,25,30,16,16,21.5,62.5,135,2,83.1022479,Hopper Division
6429,83,30,30,16,16,22,68,83,1,83,Galileo Division
1747,54.75,15,30,15,16,18.5,48.5,219,4,82.98548202,Curie Division
3098,59.66666667,20,30,14.66666667,16,20,54.66666667,179,3,82.95988716,Tesla Division
2834,54.5,10,20,14.5,16,18.75,43.25,218,4,82.60655287,Darwin Division
1114,59.33333333,20,30,16,16,20,56,178,3,82.49642411,Archimedes Division
2910,59.33333333,20,30,14.66666667,16,19.66666667,54.33333333,178,3,82.49642411,Carver Division
340,67,30,30,16,16,21,67,134,2,82.48667569,Tesla Division
973,67,30,30,16,16,18.5,64.5,134,2,82.48667569,Hopper Division
