Team,Avg Rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,
1072,34.46106,0.0001,0.00026,0.00016,0.00036,0.00062,0.0006,0.001,0.00086,0.00142,0.00174,0.0027,0.00298,0.00286,0.0035,0.0028,0.00444,0.00514,0.00672,0.00838,0.01012,0.01138,0.01204,0.01412,0.01482,0.01658,0.01826,0.02074,0.02196,0.0252,0.02792,0.03142,0.03714,0.04048,0.04476,0.05002,0.05524,0.06044,0.06542,0.07328,0.08338,0.10146,0.11718,
115,23.93166,0.00222,0.00344,0.00496,0.00732,0.00816,0.01072,0.01258,0.01588,0.0156,0.02006,0.02046,0.0219,0.02408,0.02482,0.02472,0.02508,0.0268,0.0304,0.03442,0.03644,0.03616,0.0385,0.03844,0.03508,0.03526,0.0332,0.0331,0.03282,0.032,0.0311,0.0312,0.0299,0.02862,0.02868,0.02656,0.02464,0.0245,0.0218,0.01856,0.01666,0.0177,0.01546,
1323,5.25188,0.14344,0.17536,0.14788,0.1126,0.08592,0.0645,0.05354,0.04258,0.03326,0.02762,0.02108,0.01732,0.01424,0.0112,0.0079,0.00636,0.00544,0.00474,0.00438,0.00444,0.00344,0.00278,0.00182,0.00166,0.00112,0.00108,0.00082,0.00054,0.00054,0.0005,0.00026,0.00034,0.00042,0.00014,0.0002,0.00014,0.0001,8e-05,8e-05,0.0,4e-05,0.0001,
1538,9.04166,0.04132,0.0701,0.08256,0.08708,0.08184,0.07928,0.06866,0.0625,0.0571,0.0503,0.04378,0.0394,0.03194,0.02768,0.0231,0.01946,0.01752,0.01636,0.01576,0.01364,0.0128,0.01032,0.00844,0.00678,0.00554,0.0042,0.00384,0.00332,0.00258,0.0022,0.00178,0.00164,0.00162,0.00118,0.0011,0.0009,0.00068,0.00048,0.0005,0.00034,0.00024,0.00014,
1678,7.41434,0.10092,0.11488,0.10806,0.09338,0.08284,0.06946,0.06004,0.05178,0.04734,0.03802,0.0342,0.02832,0.02416,0.01968,0.01748,0.01406,0.0125,0.01162,0.01094,0.01038,0.00832,0.0078,0.00566,0.00416,0.00402,0.0035,0.00278,0.00222,0.00184,0.0016,0.00138,0.00138,0.00122,0.00084,0.00058,0.0006,0.00044,0.0004,0.00024,0.00032,0.0003,0.00034,
1983,27.37512,0.00102,0.00132,0.00238,0.0032,0.00406,0.00604,0.00662,0.00724,0.00872,0.0119,0.01188,0.01394,0.015,0.01584,0.01684,0.01676,0.01956,0.02428,0.02606,0.02826,0.03182,0.03232,0.031,0.03252,0.03418,0.0327,0.03428,0.03678,0.03622,0.03664,0.03694,0.03724,0.03864,0.03696,0.03724,0.03726,0.0352,0.03578,0.03292,0.03268,0.03094,0.02882,
2046,21.03176,0.0039,0.00672,0.00972,0.0131,0.01472,0.01806,0.0201,0.0221,0.02518,0.02622,0.03032,0.0309,0.03058,0.03088,0.03156,0.03148,0.03376,0.03536,0.03774,0.0408,0.0378,0.03648,0.03432,0.03348,0.03206,0.03212,0.02868,0.02848,0.02752,0.02488,0.02476,0.02222,0.02178,0.0209,0.01774,0.01786,0.01406,0.01298,0.01084,0.00972,0.01014,0.00798,
2471,21.39632,0.00378,0.00614,0.00944,0.01176,0.01402,0.01646,0.01904,0.0216,0.0238,0.02732,0.02798,0.0297,0.0298,0.03104,0.02892,0.0305,0.03442,0.03674,0.03718,0.03876,0.03762,0.03572,0.03642,0.03378,0.0317,0.03076,0.03024,0.02882,0.02706,0.02648,0.0249,0.02342,0.02246,0.0217,0.02004,0.01782,0.01652,0.01396,0.01206,0.01136,0.01016,0.0086,
254,2.95388,0.41804,0.20678,0.1167,0.07576,0.05002,0.03472,0.02476,0.0182,0.01312,0.00958,0.00732,0.00612,0.00398,0.00328,0.00224,0.00166,0.00134,0.0013,0.0011,0.00076,0.00058,0.00046,0.00034,0.00038,0.00016,0.00012,0.00024,0.0001,0.0001,0.00016,6e-05,8e-05,8e-05,0.00012,2e-05,4e-05,0.0,2e-05,2e-05,8e-05,2e-05,4e-05,
2557,15.96764,0.01226,0.01896,0.02484,0.02872,0.03374,0.03754,0.03984,0.04226,0.04366,0.04462,0.04414,0.04232,0.04108,0.0403,0.03568,0.03554,0.03462,0.0353,0.03644,0.03292,0.03246,0.02878,0.02606,0.02458,0.02164,0.01912,0.01908,0.01586,0.01548,0.01304,0.0112,0.0104,0.00912,0.00944,0.0085,0.00688,0.0061,0.00468,0.00394,0.00364,0.00288,0.00234,
2659,30.03716,0.00062,0.00088,0.0012,0.00114,0.00196,0.00224,0.00336,0.00386,0.00534,0.00556,0.0074,0.00716,0.00844,0.00918,0.01006,0.01224,0.01444,0.01694,0.01938,0.02346,0.02334,0.02496,0.0259,0.02766,0.02728,0.03188,0.03348,0.03326,0.03596,0.0389,0.04044,0.04052,0.04524,0.04504,0.04504,0.04734,0.04928,0.04824,0.04682,0.04614,0.04646,0.04196,
