Team,Wins,Plays,Avg
frc1024,39257,86772,0.4524155257456322
frc1102,41171,86889,0.4738344324367872
frc118,58121,86992,0.6681189074857458
frc1218,40129,86977,0.46137484622371433
frc133,56646,87404,0.6480939087455951
frc1533,50658,87696,0.5776546250684181
frc1619,58033,87413,0.6638943864184961
frc1640,44360,86428,0.5132595917989541
frc1706,39853,86806,0.4591042093864479
frc1710,17083,87034,0.19627961486315693
frc1720,16435,86846,0.1892430278884462
frc1731,56972,87028,0.6546398860136967
frc1741,46100,87122,0.5291430407933703
frc1746,14961,86976,0.17201296909492272
frc1747,51119,86712,0.5895262478088384
frc1806,41043,87016,0.4716718764365174
frc195,65258,87283,0.7476599108646587
frc20,31469,87000,0.3617126436781609
frc2013,19740,87012,0.2268652599641429
frc2056,66114,86783,0.7618312342279018
frc2168,41377,86731,0.4770727882763948
frc217,66799,86669,0.7707369416977236
frc225,67055,87074,0.7700921055653812
frc2337,56785,87047,0.6523487311452434
frc234,45266,86977,0.5204364372190349
frc245,35752,87744,0.4074580598103574
frc2451,34728,87092,0.39875074633720664
frc2468,32116,86977,0.36924704232153327
frc2481,44266,87229,0.5074688463699
frc2590,66041,86962,0.7594236563096525
frc2614,48235,86501,0.5576236112877307
frc2655,39377,86670,0.45433252567208954
frc2771,46192,86766,0.5323744323813475
frc2791,39803,87191,0.45650353820921885
frc2826,22123,86668,0.25526145751603824
frc2834,48952,86714,0.5645224531217565
frc302,47667,86837,0.5489249974089386
frc319,56829,87217,0.6515816870564225
frc33,49662,86464,0.5743662102146558
frc3357,65661,86942,0.7552276230130431
frc340,48777,87129,0.5598250869400544
frc3452,54540,86851,0.6279720440754856
frc3478,40789,87253,0.4674796282076261
frc3538,62415,86965,0.7177025240039097
frc359,49501,87122,0.5681802529785818
frc3641,53601,86572,0.6191493785519567
frc3707,59081,87148,0.6779386790287786
frc384,45762,87344,0.5239283751602858
frc3847,37569,86668,0.43348179258780634
frc3940,31022,87063,0.3563166902128344
frc4028,36353,87132,0.4172175549740623
frc4265,22233,86768,0.256235017517979
frc4499,20782,86948,0.23901642360951372
frc4587,27584,87115,0.31663892555817025
frc469,17809,86690,0.2054331526127581
frc494,49364,86416,0.5712368079985188
frc4944,35195,86895,0.4050290580585764
frc4967,33091,87572,0.3778719225323163
frc5254,23013,86498,0.26605239427501215
frc5406,61299,86397,0.7095038022153547
frc624,51063,86476,0.5904875341135113
frc67,67201,86952,0.7728516882877909
frc6800,15748,87478,0.1800224056334164
frc694,53026,87496,0.6060391332175186
frc708,25366,86647,0.2927510473530532
frc829,36643,86639,0.4229388612518612
frc865,42955,86866,0.49449727165979784
frc868,54879,86800,0.6322465437788019
frc88,34131,87439,0.3903406946557028
