Team,Wins,Plays,Avg
frc1024,43558,86680,0.5025149976926626
frc1102,43708,86977,0.5025236556790875
frc118,43420,87019,0.49897148898516414
frc1218,43413,87040,0.49877068014705883
frc133,43516,86989,0.5002471576866041
frc1533,43387,86925,0.49913143514524017
frc1619,43665,86908,0.5024278547429466
frc1640,43328,86830,0.4989980421513302
frc1706,43858,87274,0.5025322547379517
frc1710,43541,87127,0.49974175628679973
frc1720,43264,86587,0.49965930220471894
frc1731,44013,87672,0.5020188885847249
frc1741,43311,87083,0.49735309991617194
frc1746,43488,87190,0.49877279504530336
frc1747,43722,87076,0.5021130966052644
frc1806,43421,86664,0.5010269546755285
frc195,43576,87264,0.49935826916024934
frc20,43801,87244,0.5020517170235202
frc2013,43601,87093,0.5006257678573479
frc2056,43800,87293,0.5017584456943855
frc2168,43435,87039,0.49902917083146636
frc217,43222,86696,0.498546645750669
frc225,43280,86631,0.4995902159734968
frc2337,43126,86336,0.499513528539659
frc234,43468,86864,0.500414440965187
frc245,42764,86700,0.4932410611303345
frc2451,43605,87238,0.49983951947545796
frc2468,43401,86718,0.5004843285131114
frc2481,43259,86555,0.49978626306972446
frc2590,43409,86700,0.5006805074971165
frc2614,43470,87105,0.4990528672292061
frc2655,43615,86611,0.5035734490999988
frc2771,43135,86348,0.4995483392782693
frc2791,43532,87188,0.499288892966922
frc2826,43628,87048,0.501194743130227
frc2834,43719,86835,0.5034721022629124
frc302,43307,86487,0.5007342143906021
frc319,43184,86588,0.49872961611308725
frc33,43467,87074,0.4991960860876955
frc3357,43614,87284,0.4996792081022868
frc340,43787,87105,0.5026921531484989
frc3452,43289,87095,0.49703197657730064
frc3478,43450,87047,0.4991556285684745
frc3538,43212,86748,0.4981325217872458
frc359,43251,86542,0.49976889833837906
frc3641,43306,86712,0.49942337854045576
frc3707,43373,87025,0.4983970123527722
frc384,43345,87127,0.4974921666073663
frc3847,43427,86780,0.5004263655220097
frc3940,43351,86732,0.4998270534520131
frc4028,43627,87254,0.5
frc4265,43089,86692,0.49703548193604946
frc4499,43422,87022,0.49897727011560294
frc4587,43424,87089,0.4986163579786196
frc469,43459,86674,0.5014075732053441
frc494,43992,87349,0.5036348441310147
frc4944,43543,86932,0.5008857497814384
frc4967,43601,87291,0.49949021090375867
frc5254,43754,86814,0.5039970511668624
frc5406,43348,87106,0.497646545588134
frc624,43287,86989,0.49761464093161206
frc67,43943,87101,0.5045062628442842
frc6800,43663,87397,0.4995938075677655
frc694,43461,86954,0.49981599466384524
frc708,43588,87124,0.5002984252330013
frc829,43493,86842,0.5008290919140508
frc865,43738,87423,0.500303123891882
frc868,43297,87164,0.49673030150061953
frc88,43449,86890,0.5000460352169409
