2018iri
Match Key,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red DP,Blue DP,Prediction,Blue Win %,Winner,Correct,Component Brier Score
2018iri_qm1,2834,2337,1218,2013,3707,1640,92.11933709628723,85.35588665979748,RED,0.3146063850051977,RED,True,0.0989771774860387
2018iri_qm2,694,1706,1619,3940,384,359,93.20279455503184,86.30648544684792,RED,0.3113175284805543,RED,True,0.09691860353924073
2018iri_qm3,4587,4265,3452,1024,2826,88,79.970447308409,77.74201628226668,RED,0.4362101131011827,BLUE,False,0.3178590365693813
2018iri_qm4,2791,2590,829,3478,1102,1731,91.50294218334214,90.08566728011174,RED,0.45929781502828165,BLUE,False,0.2923588528331904
2018iri_qm5,4967,1741,865,319,118,1747,85.26257875711833,97.66638347277112,BLUE,0.8065958648616652,RED,False,0.6505968892119377
2018iri_qm6,1746,2771,133,868,2056,5406,83.39083446584335,102.70289032725024,BLUE,0.9023297126695973,BLUE,True,0.009539485027203427
2018iri_qm7,2614,3357,1533,195,3847,2168,97.45664561411253,91.80080837509175,RED,0.3427299103549005,RED,True,0.11746379145187814
2018iri_qm8,2481,2363,234,2655,624,4028,84.44627548665498,86.59755768193455,BLUE,0.5616042836268338,BLUE,True,0.1921908041343416
2018iri_qm9,469,33,494,1806,708,2451,83.55127045254751,79.13461508707411,RED,0.37554845313665647,RED,True,0.14103664065333546
2018iri_qm10,1710,3538,1720,6800,2468,217,76.89215765419307,82.80239224073838,BLUE,0.6638370952255948,RED,False,0.44067968899755533
2018iri_qm11,302,3641,4499,225,20,245,84.97599132733043,88.94043462435161,BLUE,0.6121653654620761,RED,False,0.37474643467131724
2018iri_qm12,1533,67,5254,2337,340,4944,90.51866888443107,90.41979590923546,RED,0.49715423774380046,RED,True,0.24716233610661928
2018iri_qm13,4967,868,195,1706,1218,384,94.19945298861907,86.2494448061654,RED,0.2859209050782136,RED,True,0.08175076396074483
2018iri_qm14,2451,4587,2771,359,2590,624,81.49450108018176,98.21618369267576,BLUE,0.8727121651584964,RED,False,0.7616265232156306
2018iri_qm15,4028,319,708,1640,1746,118,84.02274580038777,83.41244909276045,RED,0.4824414718496126,RED,True,0.23274977376042055
2018iri_qm16,1720,3452,245,2834,469,2791,80.30035851838353,80.52337625208636,BLUE,0.5064186137449642,BLUE,True,0.24362258485744281
2018iri_qm17,217,2655,2826,67,20,1102,87.1884580372768,90.61312966761193,BLUE,0.5973125702571906,RED,False,0.3567823065872513
2018iri_qm18,2614,5406,340,494,865,302,95.65448465582512,90.4383576184626,RED,0.35422271787773457,BLUE,False,0.4170282981052199
2018iri_qm19,1619,2363,1024,694,5254,2468,86.74130203617321,81.01464663399905,RED,0.3408956232928776,RED,True,0.1162098259802395
2018iri_qm20,4265,3707,2168,234,3847,1747,85.22984989365501,88.71791056573315,BLUE,0.5990666905093494,RED,False,0.35888089967782455
2018iri_qm21,829,3940,4499,88,1710,2481,75.44538301121037,77.2426907081531,BLUE,0.5515468814218235,BLUE,True,0.20111019956249201
2018iri_qm22,6800,1731,1741,33,133,4944,83.64089708770435,90.72439910355797,BLUE,0.6932841738868429,BLUE,True,0.0940745979882764
2018iri_qm23,3641,2013,3357,3538,2056,1806,89.9950608143491,99.0557788113795,BLUE,0.7394580579496902,BLUE,True,0.06788210356734697
2018iri_qm24,3478,1746,624,5254,2834,225,80.32166635245298,90.18923895378381,BLUE,0.7569529916742705,RED,False,0.5729778316046283
2018iri_qm25,1218,708,245,1024,217,3847,79.19767471624722,91.90286632534642,BLUE,0.8119512769414579,BLUE,True,0.03536232224394828
2018iri_qm26,20,829,4265,340,2451,694,76.2531617062736,89.09522121425138,BLUE,0.8143454146829263,BLUE,True,0.03446762504925459
