Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018arc_qm1,frc7160,frc3381,frc3656,105.63799692226573,frc3928,frc1756,frc6875,157.07514878915595,0.7985394707449207,BLUE,True,0.04058634484773666
2018arc_qm2,frc5436,frc4096,frc2016,132.56444595764825,frc4776,frc447,frc6237,114.87194734479047,0.38374009819332405,BLUE,False,0.3797762665747738
2018arc_qm3,frc2081,frc58,frc5422,110.16039340300516,frc2830,frc67,frc868,216.10851942783262,0.9446261150432516,BLUE,True,0.0030662671352032116
2018arc_qm4,frc5724,frc6328,frc1325,184.7732318326,frc5531,frc5216,frc2228,99.52925679213548,0.09259589379167929,RED,True,0.008573999547079951
2018arc_qm5,frc4909,frc6860,frc303,152.777943330615,frc1923,frc4392,frc1559,176.66656677864734,0.6546630035578429,BLUE,True,0.11925764111169042
2018arc_qm6,frc5407,frc1218,frc6121,171.12009478375154,frc4786,frc2377,frc2549,111.99136951913013,0.17035307939860117,BLUE,False,0.6883140128633837
2018arc_qm7,frc2220,frc612,frc4557,140.63539233434784,frc2200,frc1493,frc4521,159.9456576587432,0.6264501595257284,RED,False,0.3924398023698105
2018arc_qm8,frc870,frc4003,frc5674,206.97579132256328,frc3618,frc5913,frc694,160.58379750498506,0.22406881529831482,RED,True,0.05020683398919032
2018arc_qm9,frc3767,frc1114,frc2075,201.5461794984265,frc1660,frc4541,frc6329,132.4059557637462,0.1357347268011504,RED,True,0.018423916059782934
2018arc_qm10,frc1259,frc3620,frc2202,188.7093994461799,frc6968,frc1262,frc5413,104.88719057117214,0.09584431741808995,RED,True,0.009186133181339581
2018arc_qm11,frc4237,frc7329,frc1322,129.37107766732765,frc2620,frc4011,frc894,73.86866480069497,0.18451756585356968,RED,True,0.03404673210852643
2018arc_qm12,frc555,frc6875,frc4521,90.59335046853045,frc868,frc1218,frc2177,162.62607043236267,0.8730967857055614,BLUE,True,0.016104425798260213
2018arc_qm13,frc5216,frc303,frc1756,198.31788075582153,frc6121,frc5674,frc58,157.39668871032865,0.25055883871729934,RED,True,0.06277973165936163
2018arc_qm14,frc7160,frc6237,frc3618,102.88377763758477,frc5913,frc1114,frc612,177.22876797939406,0.8797993040444573,BLUE,True,0.014448207308196825
2018arc_qm15,frc3928,frc2830,frc447,129.51603839638827,frc1559,frc1660,frc2202,126.19230236785393,0.4777670396373214,RED,True,0.22826134416380986
2018arc_qm16,frc6860,frc2377,frc4541,122.37742014063863,frc1325,frc1259,frc2200,237.22119949964952,0.9558435616576167,BLUE,True,0.001949791047084694
2018arc_qm17,frc4237,frc5724,frc5436,148.53064043428085,frc2081,frc2075,frc2177,119.68012261701854,0.31594917894301117,RED,True,0.09982388367476289
2018arc_qm18,frc5407,frc3620,frc894,129.3388299351963,frc5531,frc2620,frc4392,148.19197381379587,0.6235816841015402,RED,False,0.3888541167469131
2018arc_qm19,frc4786,frc3656,frc2016,171.60713921047395,frc870,frc4909,frc2228,100.88966297781437,0.13085648722581425,RED,True,0.017123420249079688
2018arc_qm20,frc694,frc1923,frc555,152.74767602164601,frc6968,frc3767,frc1493,143.7065515812475,0.43977647158718547,RED,True,0.19340334496167455
