Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018cars_qm1,frc4230,frc2832,frc2604,77.95382136121458,frc217,frc2234,frc4253,203.4762160365962,0.9664556634566518,BLUE,True,0.001125222514133406
2018cars_qm2,frc2338,frc422,frc2537,167.4548974624282,frc1736,frc4967,frc2846,148.48009124056287,0.37565401858112984,BLUE,False,0.3898079045138921
2018cars_qm3,frc3990,frc3936,frc3624,155.77875222542508,frc25,frc3359,frc3276,186.79299932215957,0.6964359194474548,BLUE,True,0.09215115100171217
2018cars_qm4,frc2502,frc4130,frc133,182.05918373166793,frc2987,frc2771,frc3044,159.6476415067927,0.35433176772005315,RED,True,0.1255510016156177
2018cars_qm5,frc5123,frc3604,frc6548,128.452785184002,frc1885,frc4145,frc5016,181.57938608725217,0.8057182425211366,RED,False,0.649181886331349
2018cars_qm6,frc6880,frc4004,frc7225,116.20818022864478,frc2225,frc1731,frc5050,178.09237219314866,0.839821766750471,BLUE,True,0.025657066406940505
2018cars_qm7,frc71,frc1507,frc2137,158.86712504836072,frc467,frc1918,frc6909,142.21012087768906,0.39031728684812317,RED,True,0.15234758441248006
2018cars_qm8,frc862,frc3357,frc5484,190.86124053314154,frc6334,frc6806,frc190,111.13893081749902,0.1057881058045007,RED,True,0.011191123329704233
2018cars_qm9,frc103,frc191,frc225,178.25844506733392,frc5546,frc3015,frc5846,181.9514852612968,0.5246994705109583,RED,False,0.27530953435448
2018cars_qm10,frc5404,frc272,frc3940,128.75745559016033,frc4476,frc1640,frc7028,161.62697512811846,0.7068339452935216,BLUE,True,0.08594633563216188
2018cars_qm11,frc4361,frc384,frc2586,173.24832368718418,frc1100,frc5254,frc1816,143.64759234772058,0.3116241343822578,TIE,False,0.03548546674723368
2018cars_qm12,frc88,frc25,frc71,236.81157003916223,frc5505,frc4253,frc422,228.02838271821395,0.4414786432461133,RED,True,0.194903392442429
2018cars_qm13,frc1731,frc3936,frc2987,159.21118967768552,frc3604,frc1736,frc2137,158.0497627507735,0.49222654403872657,RED,True,0.24228697065630841
2018cars_qm14,frc1507,frc217,frc3990,214.53963173832875,frc2338,frc6880,frc4130,129.5435170111777,0.093154995565493,RED,True,0.00867785319880702
2018cars_qm15,frc6806,frc6548,frc862,137.82464382284837,frc7028,frc4230,frc3359,67.0170708071937,0.1305823761995017,RED,True,0.017051756973908185
2018cars_qm16,frc3940,frc2502,frc2604,114.51222699549274,frc5546,frc3624,frc6334,163.21386663771105,0.7864989513306672,RED,False,0.6185806004442391
2018cars_qm18,frc2537,frc5050,frc6909,146.06149887946412,frc1816,frc272,frc190,93.89977768946241,0.19835767061713439,BLUE,False,0.6426304242583868
2018cars_qm19,frc5254,frc1918,frc2225,190.4248142782057,frc3276,frc5505,frc225,227.9650791038405,0.7320625214529436,RED,False,0.5359155353160415
2018cars_qm20,frc4004,frc384,frc5016,149.53974075355035,frc5484,frc191,frc3044,106.33114906698665,0.2392351350543634,RED,True,0.05723344984447949
2018cars_qm21,frc3015,frc2846,frc467,139.22338550113392,frc4476,frc1100,frc2832,154.09493724361297,0.598249002965676,RED,False,0.3579018695494254
2018cars_qm22,frc133,frc2586,frc4145,210.6254207805894,frc88,frc103,frc1640,193.334219649555,0.38628413516421817,BLUE,False,0.3766471627511317
2018cars_qm23,frc2502,frc5404,frc5846,152.69879908516364,frc4967,frc1885,frc3357,225.79616783344676,0.8762216783443931,BLUE,True,0.015321072911878876
2018cars_qm24,frc4253,frc7225,frc3624,163.11141496164055,frc1736,frc1918,frc3990,211.597607152124,0.785528723149191,BLUE,True,0.04599792859401637
2018cars_qm25,frc3044,frc6909,frc5546,135.48076504071503,frc5484,frc25,frc6548,181.68208005332065,0.7750423201975691,BLUE,True,0.05060595770209301
2018cars_qm17,frc3357,frc5123,frc2234,148.39958391708922,frc7225,frc2771,frc4361,151.5820945914812,0.521289450666451,BLUE,True,0.2291637900432282
2018cars_qm26,frc1816,frc422,frc2771,181.8054844757885,frc467,frc2604,frc191,80.23021750515065,0.06182659940759295,RED,True,0.003822528394306973
2018cars_qm27,frc2586,frc5123,frc3359,96.36429918417574,frc4476,frc4230,frc4130,139.79095689823004,0.7618258730983752,BLUE,True,0.056726914725351255
2018cars_qm28,frc4004,frc71,frc1100,149.81398888248367,frc5846,frc3276,frc2338,149.95495722794925,0.5009435791439617,BLUE,True,0.24905731119763921
2018cars_qm29,frc2846,frc6806,frc5404,126.89937901837806,frc4145,frc5254,frc217,225.89822013418268,0.9340491475902649,BLUE,True,0.00434951493357066
2018cars_qm30,frc1731,frc1885,frc2137,184.75954758214576,frc862,frc103,frc272,127.88799588565733,0.17906532227012048,RED,True,0.0320643896397021
2018cars_qm31,frc225,frc384,frc3936,221.56430534475183,frc7028,frc2537,frc88,133.65462181460134,0.0867709031617704,RED,True,0.0075291896355093365
2018cars_qm32,frc5505,frc190,frc4967,145.46472032277308,frc2832,frc5016,frc133,154.90055803695836,0.5628255562902202,RED,False,0.31677260681339586
2018cars_qm33,frc2234,frc6880,frc2225,114.77861033362291,frc3940,frc2987,frc3015,158.11608982466456,0.7613923644838936,BLUE,True,0.05693360372658709
2018cars_qm34,frc1640,frc4361,frc1507,178.60406211819364,frc6334,frc3604,frc5050,179.75000174202142,0.5076698154724151,RED,False,0.257728641541796
2018cars_qm35,frc862,frc2771,frc4145,204.3971461059607,frc3624,frc217,frc6909,161.66852825089182,0.24158185900755794,BLUE,False,0.5751980765864317
2018cars_qm36,frc4230,frc3357,frc2537,180.43135238278933,frc2137,frc4476,frc5546,175.75909501963406,0.46876667921649917,RED,True,0.21974219954366422
2018cars_qm37,frc1918,frc25,frc1885,261.4408730361252,frc2604,frc1100,frc133,145.08247529189742,0.04247613402801478,BLUE,False,0.9168519539059363
2018cars_qm38,frc5016,frc2234,frc1731,132.70260085347664,frc5404,frc467,frc2586,132.45310699486126,0.4983300037691324,BLUE,False,0.25167278511827873
2018cars_qm39,frc4967,frc5254,frc7028,120.699042220198,frc6880,frc6334,frc4253,177.3120836560975,0.8199149619108503,BLUE,True,0.032430620943570486
2018cars_qm40,frc1736,frc3276,frc4004,155.11138754101432,frc3015,frc272,frc3604,158.54660089431235,0.5229776153426877,RED,False,0.27350558614952425
2018cars_qm41,frc5484,frc1816,frc3940,111.1697594302091,frc2338,frc88,frc5123,130.01947457593857,0.6235601354591925,RED,False,0.38882724253388656
2018cars_qm42,frc5846,frc6548,frc384,178.83185508603225,frc2832,frc3936,frc1640,160.49684373486218,0.3796801390384508,RED,True,0.14415700798025735
2018cars_qm43,frc1507,frc2846,frc5505,173.22832877720617,frc3990,frc103,frc2987,156.14702169433988,0.3876172515496525,BLUE,False,0.37501263059960155
2018cars_qm44,frc71,frc4361,frc4130,149.32436069661512,frc191,frc2225,frc6806,109.13846635396996,0.2542737768828302,RED,True,0.06465515361025932
2018cars_qm45,frc3359,frc422,frc190,133.38636379003782,frc225,frc7225,frc2502,187.66824314295272,0.8105144423467688,BLUE,True,0.03590477655915599
2018cars_qm46,frc5050,frc1736,frc4476,195.525385521355,frc3044,frc88,frc2604,123.34994414711423,0.12648042681446914,RED,True,0.015997298367170284
