Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018carv_qm1,frc5499,frc2811,frc5829,153.62491993658256,frc2910,frc2928,frc2415,162.21670450075712,0.5572573650475695,BLUE,True,0.19602104080462113
2018carv_qm2,frc580,frc6832,frc1378,84.47692094714156,frc1425,frc5805,frc1466,180.38110887711193,0.9287577731955451,BLUE,True,0.005075454880057394
2018carv_qm3,frc5006,frc1421,frc4944,133.43193390367355,frc175,frc3991,frc3229,127.24714560547774,0.4586960802739242,BLUE,False,0.29300993351081395
2018carv_qm4,frc16,frc4501,frc1622,141.15156111182603,frc3753,frc3238,frc1690,132.91413216147077,0.4450846864812833,BLUE,False,0.30793100517757566
2018carv_qm5,frc3132,frc3145,frc4013,92.60536187441066,frc343,frc2152,frc100,89.25796996750643,0.4776090128723219,BLUE,False,0.27289234343223
2018carv_qm6,frc5803,frc5458,frc2429,121.35424886632464,frc744,frc4911,frc7123,146.26744428724493,0.6608382571517256,BLUE,True,0.115030687811879
2018carv_qm7,frc418,frc6413,frc6846,80.63752038735007,frc2723,frc6988,frc1369,93.76830977478342,0.5869975147760955,RED,False,0.3445660823533125
2018carv_qm8,frc801,frc932,frc1410,119.4210080944569,frc6902,frc7301,frc108,53.73470951986212,0.1469530964147606,RED,True,0.021595212545885922
2018carv_qm9,frc5026,frc5987,frc7111,127.1057640113653,frc4265,frc341,frc6502,172.1519118815932,0.7696040145653522,RED,False,0.5922903392351069
2018carv_qm10,frc6800,frc6985,frc1414,148.48239262988832,frc2556,frc4192,frc342,126.19230236785393,0.3550760654058492,RED,True,0.1260790122240989
2018carv_qm11,frc4499,frc4795,frc1477,148.3506533777847,frc4306,frc1769,frc4171,57.86378742721107,0.08145669345067771,RED,True,0.006635192907917682
2018carv_qm12,frc6838,frc3991,frc5458,74.93920977383141,frc3834,frc1378,frc343,90.78348770710681,0.6044922778469093,BLUE,True,0.1564263582827264
2018carv_qm13,frc5803,frc1622,frc5829,157.85853484383279,frc6902,frc3132,frc6988,73.36934008758183,0.09430790159254977,BLUE,False,0.8202781771176906
2018carv_qm14,frc1425,frc3238,frc341,184.3702386144573,frc175,frc100,frc2910,153.84185678432547,0.3063212896263674,BLUE,False,0.4811901532256261
2018carv_qm15,frc1690,frc580,frc4501,113.30554122685975,frc1421,frc6985,frc3229,160.931674699097,0.7816237132346052,RED,False,0.6109356290906524
2018carv_qm16,frc6832,frc342,frc1410,105.8784195476628,frc4265,frc3753,frc1769,85.86378742721107,0.36914729431701393,BLUE,False,0.39797513626754416
2018carv_qm17,frc5805,frc6800,frc4013,110.18742499437,frc6846,frc1477,frc7301,71.29825152877652,0.2609130681954028,RED,True,0.0680756291551389
2018carv_qm18,frc16,frc4499,frc4944,162.36382761727907,frc5499,frc1369,frc801,113.70508086187286,0.21369395369521282,RED,True,0.045665105845891764
2018carv_qm19,frc1466,frc4795,frc6838,117.66797405568065,frc4911,frc5987,frc418,169.69649035349454,0.8010746095628569,BLUE,True,0.03957131096056982
2018carv_qm20,frc7111,frc2152,frc2429,43.163038126950454,frc2811,frc5006,frc5026,159.78064200330715,0.9578052364690226,BLUE,True,0.0017803980694351001
2018carv_qm21,frc744,frc2723,frc2928,122.41879322670664,frc4306,frc2556,frc108,110.60581300729906,0.42158172180077425,RED,True,0.1777311481565054
2018carv_qm22,frc4192,frc4171,frc1414,92.25124821654342,frc2415,frc3834,frc6413,79.98238495560886,0.4186081832342225,RED,True,0.17523281107065639
2018carv_qm23,frc7123,frc3145,frc5803,167.0354886726496,frc932,frc6502,frc3753,148.37475185182154,0.37762829522221125,RED,True,0.14260312935243355
2018carv_qm24,frc5829,frc6800,frc1466,105.87841954766282,frc1769,frc175,frc7301,75.02109758012529,0.3044530753592771,RED,True,0.09269167509572168
2018carv_qm25,frc1421,frc5499,frc2429,123.11444133449163,frc341,frc5458,frc4795,140.05826760538278,0.6115086414978119,BLUE,True,0.15092553563087563
2018carv_qm26,frc1369,frc4265,frc3238,113.93168268989832,frc1378,frc4013,frc2928,87.27490908141719,0.32877848244270935,RED,True,0.10809529051733094
2018carv_qm27,frc2910,frc3229,frc744,175.25392028775263,frc4171,frc801,frc6838,62.01219343370978,0.046002655303683915,RED,True,0.0021162442949895577
2018carv_qm28,frc6988,frc5006,frc2556,105.63995907409202,frc932,frc3145,frc3834,103.70806536048649,0.4870716333022315,RED,True,0.23723877596770349
2018carv_qm29,frc1414,frc6502,frc4911,173.41860658293567,frc3132,frc4944,frc5805,124.94236393752821,0.21451616014256442,RED,True,0.04601718296231034
2018carv_qm30,frc2811,frc3991,frc6846,113.61028781613084,frc580,frc1622,frc5987,144.45432792214888,0.6954716145480281,BLUE,True,0.09273753754598478
2018carv_qm31,frc1410,frc2415,frc4501,98.9142786692144,frc7111,frc2723,frc7123,87.47204357365766,0.4240041509850905,BLUE,False,0.33177121808240645
2018carv_qm32,frc1477,frc4306,frc6413,107.46860571595285,frc1690,frc1425,frc6985,218.18534228941053,0.9509376733557738,BLUE,True,0.0024071118957447444
2018carv_qm33,frc6902,frc343,frc5026,112.2604086542484,frc342,frc418,frc16,182.82494538172006,0.8686770896966235,BLUE,True,0.01724570677054867
2018carv_qm34,frc108,frc4499,frc100,90.29193018710794,frc2152,frc4192,frc6832,65.86622611395302,0.34209326160397335,BLUE,False,0.43284127642689785
2018carv_qm35,frc3991,frc7301,frc1622,86.51647941121794,frc1414,frc2429,frc1769,74.39965422304213,0.4195992194770379,RED,True,0.1760635049857394
2018carv_qm36,frc6988,frc1466,frc4944,104.87715192316969,frc2415,frc5458,frc3132,107.04515828322545,0.5145076102117175,RED,False,0.26471808096577265
2018carv_qm37,frc4013,frc5829,frc7123,81.85891005372716,frc6838,frc1690,frc5006,124.84081371342796,0.759658476095999,BLUE,True,0.057764048112497475
2018carv_qm38,frc2811,frc175,frc4171,142.31506388932303,frc4911,frc932,frc342,154.08227940972256,0.5781194556907149,BLUE,True,0.17798319366669868
2018carv_qm39,frc5805,frc7111,frc6413,83.79080376733269,frc4795,frc16,frc108,169.3394546626322,0.9080872378614788,BLUE,True,0.008447955843932372
2018carv_qm40,frc418,frc4499,frc3834,99.25796996750643,frc5803,frc580,frc4265,163.2131589200518,0.8471410896487083,BLUE,True,0.023365846473784244
2018carv_qm41,frc2723,frc1425,frc801,154.52707619686868,frc6800,frc5987,frc3145,148.7188975312958,0.4612007593976105,BLUE,False,0.29030462167371157
2018carv_qm42,frc1410,frc6846,frc3229,94.23336408557833,frc6832,frc341,frc2556,124.4146804171217,0.691700632340035,BLUE,True,0.09504850009953428
2018carv_qm43,frc6502,frc6985,frc5499,175.37475185182154,frc343,frc744,frc1369,132.98761626669318,0.24326098280732691,BLUE,False,0.5726539401417328
2018carv_qm44,frc5026,frc3753,frc4306,111.71782010745432,frc1378,frc2910,frc4192,140.67235319770148,0.6846524062260073,BLUE,True,0.0994441048990471
2018carv_qm45,frc3238,frc6902,frc2928,85.12196048959902,frc1421,frc1477,frc2152,131.47592177617872,0.7757540926388007,BLUE,True,0.05028622696824758
