Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018cur_qm1,frc3324,frc1741,frc4976,156.58212443111992,frc7250,frc2265,frc4655,92.61591474164189,0.1528207044988906,RED,True,0.02335416772353724
2018cur_qm2,frc2175,frc4342,frc7198,139.71896519660783,frc6933,frc5822,frc2054,155.72991926423066,0.6055587099062538,BLUE,True,0.15558393133081883
2018cur_qm3,frc2601,frc7103,frc3452,148.27332279541326,frc1023,frc4814,frc1025,190.84937794180294,0.757668942789035,BLUE,True,0.05872434128898401
2018cur_qm4,frc263,frc558,frc302,172.0599602154028,frc5603,frc3314,frc7021,201.014487138025,0.6846523705731067,RED,False,0.4687488685313746
2018cur_qm5,frc4384,frc379,frc4607,155.12146834364316,frc5205,frc4099,frc1684,130.76483020637698,0.3425095714681357,BLUE,False,0.4322936636110146
2018cur_qm6,frc503,frc316,frc5907,188.51098636527212,frc5553,frc3707,frc70,149.790807386189,0.2617865431552012,BLUE,False,0.5449591078667476
2018cur_qm7,frc4903,frc3538,frc126,172.47342750007155,frc230,frc167,frc333,177.40921258768108,0.5329899823210003,RED,False,0.2840783212545402
2018cur_qm8,frc910,frc5813,frc5804,155.87642702141568,frc1555,frc3082,frc6032,78.17767024740219,0.11102382960149697,RED,True,0.012326290739382234
2018cur_qm9,frc1747,frc1071,frc20,159.82843599267082,frc6175,frc195,frc236,186.2541566330266,0.6698548687774794,RED,False,0.4487055452248941
2018cur_qm10,frc45,frc5687,frc4405,170.17086694438183,frc2067,frc1718,frc5712,158.8219766424504,0.42461464170594365,RED,True,0.1802975939510669
2018cur_qm11,frc2638,frc1599,frc5460,159.29034571977462,frc6401,frc3244,frc2052,163.0219481806776,0.5249569529441225,BLUE,True,0.22566589655613267
2018cur_qm12,frc1741,frc1025,frc4099,167.20229572978926,frc4903,frc2826,frc3707,213.5108184509652,0.7755423852006418,BLUE,True,0.05038122084141707
2018cur_qm13,frc2265,frc1023,frc910,128.73021961264135,frc316,frc230,frc4814,186.8007226794987,0.8256050406517531,RED,False,0.6816236831495829
2018cur_qm14,frc3452,frc5553,frc20,147.35118382877556,frc5205,frc3324,frc6032,101.92985486508995,0.22861966138682835,RED,True,0.052266949572628056
2018cur_qm15,frc1684,frc236,frc503,167.95692545100704,frc302,frc5804,frc2054,217.8287464576439,0.7917127281551083,BLUE,True,0.043383587612587815
2018cur_qm16,frc45,frc5603,frc126,93.61419692589087,frc5907,frc2175,frc4655,172.75317132695886,0.8927253216790767,BLUE,True,0.011507856608857572
2018cur_qm17,frc1599,frc4607,frc5712,152.22346677679488,frc3314,frc2067,frc195,214.94848649167085,0.8428270601780311,BLUE,True,0.024703333012280254
2018cur_qm18,frc5822,frc263,frc4976,148.91056831310595,frc70,frc1718,frc167,161.69738630208965,0.5847630499343743,BLUE,True,0.1724217246998029
2018cur_qm19,frc7021,frc333,frc6401,163.42100809445688,frc5813,frc1747,frc5687,217.1706755780779,0.8083162931323119,BLUE,True,0.03674264347853778
2018cur_qm20,frc1555,frc2601,frc379,123.11444133449163,frc4384,frc7198,frc2826,136.80768255520417,0.5906434982999111,BLUE,True,0.16757274548413487
