Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018dal_qm1,frc369,frc6964,frc5148,73.50329220058138,frc346,frc4855,frc2877,167.2174708833267,0.9247791434609647,BLUE,True,0.0056581772584661325
2018dal_qm2,frc401,frc5962,frc3236,128.4904978594609,frc1796,frc3950,frc610,186.5870900489751,0.8257055911422265,BLUE,True,0.030378540959080706
2018dal_qm3,frc3175,frc33,frc1629,186.44107333417276,frc2170,frc3683,frc3539,140.68884551369914,0.22706101037333554,BLUE,False,0.597434681685089
2018dal_qm4,frc663,frc4027,frc141,159.23580359419338,frc2013,frc611,frc5243,118.94430084866833,0.2537379866850211,RED,True,0.06438296588696796
2018dal_qm5,frc614,frc1024,frc4539,208.61351196403325,frc2783,frc4308,frc888,133.77530543528843,0.11881117166494624,RED,True,0.014116094512397325
2018dal_qm6,frc836,frc1305,frc5561,195.22454340405685,frc245,frc2708,frc810,172.08308162612605,0.3498735284942492,RED,True,0.1224114859410162
2018dal_qm7,frc1189,frc4327,frc469,127.80457253543838,frc6753,frc4811,frc6868,81.91573878253757,0.22641974060878794,RED,True,0.05126589893735082
2018dal_qm8,frc1739,frc3171,frc7153,107.13693397787819,frc1076,frc2767,frc7048,147.9401835862578,0.7488477217585457,BLUE,True,0.06307746686587286
2018dal_qm9,frc188,frc2706,frc747,159.1717522177653,frc4362,frc2729,frc329,139.84853130810515,0.3734686714546287,RED,True,0.1394788485580854
2018dal_qm10,frc337,frc3534,frc145,110.39093653837692,frc4481,frc1468,frc623,141.68147730025603,0.6979975816415639,BLUE,True,0.09120546069434386
2018dal_qm11,frc3637,frc74,frc237,132.60389990234103,frc5517,frc4466,frc27,144.69099977301883,0.5802069446444532,BLUE,True,0.17622620932474517
2018dal_qm12,frc1796,frc5962,frc5030,150.67183975656738,frc6964,frc5243,frc2512,77.12532647410201,0.1224799581444714,RED,True,0.015001340147071465
2018dal_qm13,frc3171,frc1189,frc369,162.76901764998428,frc401,frc2783,frc1629,171.26019746700536,0.5565926896601853,BLUE,True,0.19661004286278877
2018dal_qm14,frc663,frc7048,frc888,133.37714265573112,frc5148,frc329,frc2170,72.9765543302729,0.16559412697050804,RED,True,0.02742141488712474
2018dal_qm15,frc836,frc188,frc337,144.7534452549857,frc145,frc3236,frc4308,126.19963267147241,0.3783013643048755,RED,True,0.14311192223493013
2018dal_qm16,frc33,frc747,frc4466,162.4895032033646,frc1739,frc245,frc623,138.75141250330154,0.34624875395086085,RED,True,0.11988819961252378
2018dal_qm17,frc2512,frc610,frc611,153.85299139104657,frc4539,frc4362,frc6868,175.5445271813598,0.6412455991763809,BLUE,True,0.12870472011031395
2018dal_qm18,frc1024,frc2708,frc27,196.21739206709066,frc469,frc346,frc3534,175.25855491832039,0.3632797838124582,RED,True,0.13197220132682635
2018dal_qm19,frc1076,frc5030,frc2013,106.44911142542583,frc2877,frc1305,frc4481,176.40993639205547,0.8668221403784883,BLUE,True,0.017736342293367086
2018dal_qm20,frc810,frc3683,frc74,151.30142735510793,frc7153,frc237,frc2706,150.17593428582137,0.49246701316141367,BLUE,False,0.2575897327292966
2018dal_qm21,frc4855,frc614,frc5561,154.75494928672842,frc4811,frc2729,frc3637,90.05460262196503,0.1502932441129142,RED,True,0.022588059225984017
2018dal_qm22,frc5517,frc3950,frc1468,96.91045094629095,frc3175,frc4027,frc6753,124.62380414302407,0.6774339456103599,RED,False,0.45891675066522
2018dal_qm23,frc2767,frc1024,frc3539,217.85544446623211,frc6964,frc4327,frc141,96.12143309284711,0.03699284671777499,RED,True,0.0013684707082847957
2018dal_qm24,frc5243,frc346,frc6868,113.71610014648046,frc4466,frc888,frc188,138.68348083571226,0.6611633437745627,BLUE,True,0.11481027960203521
2018dal_qm25,frc1189,frc611,frc2877,150.7042821705414,frc4481,frc237,frc747,140.82524289310362,0.43425689340596696,RED,True,0.18857904947060136
2018dal_qm26,frc7153,frc4308,frc1305,166.39714127284032,frc623,frc2170,frc2512,131.5557837297471,0.2823466559514825,BLUE,False,0.5150263222240199
2018dal_qm27,frc3175,frc1468,frc2708,122.6092091358174,frc401,frc3171,frc4855,160.62781832769778,0.7345671583310263,BLUE,True,0.07045459343646648
2018dal_qm28,frc610,frc329,frc4027,145.13908099829567,frc810,frc3637,frc3534,120.11714816617705,0.3385095220539198,RED,True,0.11458869652117323
2018dal_qm29,frc2767,frc2783,frc4539,213.7407421005583,frc3683,frc337,frc6753,130.7058800042273,0.09768675436036632,RED,True,0.009542701977462549
2018dal_qm30,frc3236,frc5148,frc3539,120.60765562808322,frc27,frc369,frc4811,136.37877286786522,0.6040238642015494,RED,False,0.3648448285249718
2018dal_qm31,frc4327,frc663,frc1076,71.8841517920839,frc1629,frc1796,frc4362,253.20332868674848,0.992268448375303,BLUE,True,5.977689052535426e-05
2018dal_qm32,frc2729,frc145,frc245,135.95798555119816,frc74,frc5030,frc7048,141.1472682165421,0.5346790124459982,RED,False,0.28588164635022795
2018dal_qm33,frc141,frc614,frc5517,170.42180869172813,frc33,frc836,frc5962,160.06879568917915,0.431141811337972,RED,True,0.18588326148378748
2018dal_qm34,frc3950,frc1739,frc2013,76.03451900867901,frc5561,frc2706,frc469,163.98249874705834,0.9133103130745109,BLUE,True,0.007515101819239309
2018dal_qm35,frc3539,frc611,frc6964,101.658008535165,frc3637,frc1189,frc2170,128.71296012671144,0.6735698933879187,BLUE,True,0.10655661450277475
2018dal_qm36,frc810,frc7153,frc1024,151.27113484238885,frc1629,frc747,frc6753,169.78969084841114,0.6214765988373335,BLUE,True,0.14327996522775294
2018dal_qm37,frc237,frc2512,frc346,156.6847506679233,frc4027,frc245,frc3171,175.05060265149015,0.6205143212420304,RED,False,0.3850380228664577
2018dal_qm38,frc5243,frc4539,frc2729,150.23232780188982,frc1076,frc33,frc3236,150.34637244485464,0.5007633642174332,RED,False,0.25076394694236165
2018dal_qm39,frc2708,frc469,frc3683,160.42310247104962,frc4308,frc614,frc663,144.20189548403067,0.3930974773409598,RED,True,0.1545256266918264
2018dal_qm40,frc145,frc4481,frc3175,103.33095362738482,frc5148,frc5962,frc6868,38.64376147544873,0.15033822769400546,RED,True,0.022601582706174628
2018dal_qm41,frc5517,frc2767,frc369,189.7139676590381,frc1468,frc188,frc5561,139.49193857935174,0.20674527214544217,BLUE,False,0.6292530632636086
2018dal_qm42,frc2706,frc3534,frc1305,194.0334433481529,frc7048,frc1796,frc141,197.9254506584705,0.5260278412486207,BLUE,True,0.22464960727144273
2018dal_qm43,frc623,frc329,frc2783,107.82500593327086,frc4327,frc2013,frc2877,114.26206687584984,0.5429805249043234,BLUE,True,0.2088668006167278
2018dal_qm44,frc4466,frc4811,frc337,88.40149860052124,frc3950,frc401,frc888,132.80683694115572,0.7665477476375713,BLUE,True,0.05449995413309111
2018dal_qm45,frc836,frc27,frc1739,139.93646011550382,frc4855,frc5030,frc4362,172.9778735595205,0.7077867300857204,BLUE,True,0.08538859511399566
2018dal_qm46,frc2170,frc74,frc614,154.9938001749949,frc610,frc3236,frc4481,180.72477745060252,0.6657283005656994,BLUE,True,0.11173756904269538
2018dal_qm47,frc1629,frc3683,frc6964,138.62382194329732,frc1305,frc6868,frc245,158.68711898031887,0.631156085565895,RED,False,0.39835800434686336
2018dal_qm48,frc5962,frc3637,frc2708,101.56792889157717,frc7153,frc7048,frc2783,112.20747895101462,0.5707387638310739,BLUE,True,0.18426520887727454
2018dal_qm49,frc3171,frc2877,frc3534,154.66304878704256,frc4539,frc469,frc4466,163.22337054162227,0.5570495184956109,BLUE,True,0.19620512906497015
2018dal_qm50,frc346,frc1189,frc2729,175.56444053578986,frc141,frc3175,frc1739,105.23898113422027,0.13205485645067644,RED,True,0.01743848511220876
2018dal_qm51,frc27,frc888,frc2706,183.39800391677798,frc611,frc623,frc5517,142.65856350498,0.2514737299358773,RED,True,0.06323903684786256
2018dal_qm52,frc2512,frc747,frc3950,97.83107511159865,frc663,frc836,frc2767,202.68166398751782,0.9430687820479757,BLUE,True,0.0032411635775008905
2018dal_qm53,frc329,frc1076,frc1468,65.86622611395302,frc4811,frc237,frc1024,139.3717064930703,0.8774019141749431,BLUE,True,0.015030290647968026
2018dal_qm54,frc4308,frc2013,frc4362,178.84983534810982,frc3539,frc810,frc369,136.44495165625352,0.24317351769388904,RED,True,0.05913335970762016
2018dal_qm55,frc5030,frc401,frc33,190.5044146273944,frc74,frc4027,frc4327,126.86822035244465,0.15396817219794717,RED,True,0.02370619804997671
2018dal_qm56,frc337,frc5148,frc4855,91.8266285359403,frc610,frc5243,frc188,158.14412133115314,0.8551528055595407,RED,False,0.7312863208563536
2018dal_qm57,frc2170,frc6753,frc1796,179.95343568342042,frc145,frc5561,frc3171,134.66326019979707,0.22923952024959907,RED,True,0.05255075764426634
2018dal_qm58,frc4481,frc2512,frc4811,110.80299720104247,frc1739,frc1629,frc2708,148.04139125690375,0.7304742201071972,BLUE,True,0.07264414602682358
2018dal_qm59,frc2783,frc4466,frc6964,77.24089916031275,frc2706,frc1468,frc836,160.90393180221673,0.9037857240238338,BLUE,True,0.009257186901617866
