Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018dar_qm1,frc2337,frc125,frc3274,221.55969608861324,frc3535,frc176,frc5740,143.44804773859872,0.10993742478370898,RED,True,0.012086237368073668
2018dar_qm2,frc5339,frc365,frc4028,124.9567746907025,frc1625,frc51,frc3572,144.30369057904338,0.6266797633184887,RED,False,0.3927275257529171
2018dar_qm3,frc3542,frc5492,frc250,105.29579763852657,frc4458,frc2501,frc3461,131.94291749620484,0.6711644746310259,RED,False,0.45046175200674105
2018dar_qm4,frc2481,frc548,frc1711,161.1439009049868,frc2194,frc1391,frc3844,142.8228123215825,0.37976793930959357,BLUE,False,0.38468780910826794
2018dar_qm5,frc2834,frc977,frc1018,150.24674277580596,frc6193,frc56,frc3695,178.71251412537788,0.6818202409842697,BLUE,True,0.10123835904730819
2018dar_qm6,frc4946,frc772,frc5883,203.47287300559782,frc111,frc6823,frc234,147.49958484512513,0.18262807059488806,RED,True,0.03335301216921142
2018dar_qm7,frc4905,frc857,frc5234,129.22740411972833,frc5406,frc3536,frc6869,215.49199428944962,0.90967468606342,BLUE,True,0.008158662337741743
2018dar_qm8,frc4122,frc1519,frc157,129.67868806925844,frc5036,frc2451,frc4198,190.22660377326216,0.834950187552864,RED,False,0.6971418156945628
2018dar_qm9,frc5443,frc4917,frc247,161.10550970228226,frc3130,frc177,frc4645,173.30943882281318,0.5809686336698004,BLUE,True,0.17558728596855389
2018dar_qm10,frc5914,frc3504,frc578,141.58160753466538,frc78,frc6936,frc6590,115.08841976524529,0.32974577382483267,RED,True,0.1087322753553377
2018dar_qm11,frc2791,frc494,frc865,220.0028339090269,frc6947,frc3117,frc5434,90.25553128076447,0.03006445326641299,RED,True,0.0009038713502083308
2018dar_qm12,frc1418,frc6193,frc3274,158.8751358614312,frc3542,frc4028,frc4946,163.46884686570996,0.5307095832440981,BLUE,True,0.22023349525892807
2018dar_qm13,frc5036,frc2481,frc111,193.93430822743792,frc5740,frc4458,frc5339,72.86622611395302,0.03763329064731259,RED,True,0.0014162645649451054
2018dar_qm14,frc3572,frc5443,frc2194,120.30028907497385,frc157,frc1018,frc857,118.87070085193974,0.49043213167051597,RED,True,0.24052367577488631
2018dar_qm15,frc51,frc4122,frc176,159.73257124985577,frc578,frc5234,frc1711,151.11505542623416,0.44257266650966753,RED,True,0.19587056514147738
2018dar_qm16,frc6936,frc4917,frc3536,185.18399796822814,frc5434,frc2451,frc250,160.39128287422335,0.3398851127186515,RED,True,0.11552188984777045
2018dar_qm17,frc234,frc977,frc2501,133.77741795406567,frc177,frc1418,frc125,219.81988659213545,0.9091848377631554,BLUE,True,0.008247393692104405
2018dar_qm18,frc5406,frc56,frc6947,167.0918832954866,frc3844,frc365,frc3117,129.03707441080678,0.26524390792607466,RED,True,0.07035433069189598
2018dar_qm19,frc4645,frc3535,frc5492,95.81380983336848,frc6869,frc5914,frc2834,144.4684322628447,0.7862874910126718,BLUE,True,0.04567303649765883
2018dar_qm20,frc6823,frc494,frc548,151.5209672900457,frc1625,frc247,frc3504,150.3423305694899,0.49211137748759887,RED,True,0.24217360785274203
2018dar_qm21,frc4198,frc4905,frc772,151.18911050135912,frc3695,frc6590,frc2791,164.03901898787132,0.5851731547064629,BLUE,True,0.17208131157618814
2018dar_qm22,frc3461,frc5883,frc3130,188.3547080936962,frc865,frc78,frc1391,183.89910695147375,0.4702114798264097,BLUE,False,0.28067587610772277
2018dar_qm23,frc2337,frc234,frc3844,170.35091276960765,frc1519,frc250,frc857,133.41870719005328,0.27114285498477236,RED,True,0.0735184478092933
2018dar_qm24,frc5234,frc2481,frc125,227.8841437799677,frc177,frc3542,frc5434,185.2591134635009,0.24209037999531366,RED,True,0.05860775208627536
2018dar_qm25,frc5914,frc5406,frc6823,165.7477148292352,frc3274,frc3572,frc1711,135.41867899149406,0.3074565838731174,RED,True,0.09452955096692728
2018dar_qm26,frc365,frc578,frc4198,169.04926784451655,frc4645,frc977,frc772,123.57521820061307,0.22837082494654481,RED,True,0.052153233686765416
2018dar_qm27,frc2451,frc1418,frc176,219.02337136929748,frc3504,frc3130,frc5339,124.96901126473716,0.07458971883415196,RED,True,0.005563626155757843
2018dar_qm28,frc494,frc1625,frc111,190.917588517083,frc1018,frc78,frc3535,154.60702586181787,0.27444462013619386,RED,True,0.07531984952169975
2018dar_qm29,frc3461,frc4946,frc5036,152.23834488845665,frc2337,frc6590,frc4917,216.05258595892548,0.8466517717579917,RED,False,0.7168192226209464
2018dar_qm30,frc4028,frc5883,frc157,166.82006800823618,frc56,frc5740,frc2791,168.39781957457444,0.5105592066741933,BLUE,True,0.23955229017139504
2018dar_qm31,frc3695,frc865,frc2194,161.4332698265224,frc51,frc2501,frc5443,122.63116714445178,0.2613628718500371,RED,True,0.06831055078169891
2018dar_qm32,frc1391,frc4458,frc1519,170.3165140832129,frc6869,frc3117,frc6936,91.32119888041699,0.10764358943585393,RED,True,0.011587142346634684
2018dar_qm33,frc4122,frc3536,frc4905,148.3684570978071,frc2834,frc6947,frc548,98.46599357610273,0.20815201225919824,BLUE,False,0.627023235689157
2018dar_qm34,frc247,frc6193,frc3542,148.99410349105284,frc5492,frc5406,frc111,170.0567202759424,0.6373626879091023,RED,False,0.40623119593871576
2018dar_qm35,frc1625,frc3274,frc56,176.0746746874697,frc250,frc1711,frc4645,94.92089443750854,0.10221692381012112,RED,True,0.010448299513204107
2018dar_qm36,frc2481,frc365,frc3695,206.9559528050617,frc3130,frc578,frc4946,176.14206049192055,0.3046993666890405,BLUE,False,0.4834429706826213
2018dar_qm37,frc1018,frc3844,frc125,167.04287607440486,frc4458,frc6823,frc4917,183.67086292135866,0.6094978147116169,RED,False,0.3714875861382365
2018dar_qm38,frc4122,frc78,frc5339,105.1711581720915,frc1519,frc5443,frc5740,121.1287834622385,0.6052176089952385,BLUE,True,0.1558531362474364
2018dar_qm39,frc6947,frc2194,frc177,146.21153104551294,frc772,frc3461,frc5914,135.66113373995393,0.42984613960737444,BLUE,False,0.3250754245206135
2018dar_qm40,frc234,frc176,frc6869,181.19217428978197,frc247,frc2834,frc2791,181.94453671838153,0.5050358137641993,RED,False,0.25506117318446697
2018dar_qm41,frc5492,frc5036,frc51,130.23778231688763,frc3117,frc3504,frc977,122.93486299022628,0.4512726084974451,RED,True,0.20364696718008837
2018dar_qm42,frc6936,frc548,frc4028,88.02682555416152,frc865,frc157,frc2501,134.34809273293425,0.7756017785258398,RED,False,0.6015581188524458
2018dar_qm43,frc1418,frc2337,frc3572,172.54852750307953,frc1391,frc4198,frc3536,185.57928521550667,0.586348066377738,BLUE,True,0.1711079221894363
2018dar_qm44,frc6590,frc857,frc3535,116.47109054731712,frc5883,frc5434,frc5234,180.53974673656217,0.8475340747781667,BLUE,True,0.023245858353749673
2018dar_qm45,frc6193,frc4905,frc5740,122.08240082141091,frc494,frc2451,frc234,225.49439647386004,0.9409651488249514,BLUE,True,0.0034851136532601354
2018dar_qm46,frc2791,frc5339,frc5492,115.34070837435264,frc56,frc578,frc2194,176.40025826131642,0.8368293204339741,BLUE,True,0.02662467067003871
2018dar_qm47,frc4122,frc250,frc3130,116.12229464471977,frc772,frc1018,frc3542,162.58747494617472,0.7762716852771412,BLUE,True,0.05005435880873056
2018dar_qm48,frc3504,frc3572,frc6947,103.37815010833611,frc4946,frc5443,frc2481,179.2500883749049,0.8840560810713669,BLUE,True,0.013442992336529444
2018dar_qm49,frc157,frc6590,frc51,113.01071756429542,frc3536,frc125,frc1625,222.70768622505545,0.9496480236556488,BLUE,True,0.0025353215217821007
2018dar_qm50,frc977,frc177,frc5883,202.8981788152006,frc548,frc3274,frc2451,161.29684371372153,0.24715487787952445,RED,True,0.061085533659642643
2018dar_qm51,frc5434,frc6869,frc6193,155.80624761839675,frc78,frc3844,frc5036,152.01379513135618,0.47463677503859225,RED,True,0.22528006821903523
2018dar_qm52,frc5914,frc3695,frc247,117.71700361584959,frc5234,frc4458,frc1418,140.44510417259204,0.6476048862856468,BLUE,True,0.12418231616975191
2018dar_qm53,frc4028,frc1711,frc3117,133.08637125120094,frc3535,frc4917,frc4198,183.45540851382367,0.7938994987765129,BLUE,True,0.04247741660457261
2018dar_qm54,frc2337,frc2834,frc857,193.61943866210981,frc6936,frc111,frc365,124.72806896409955,0.13651825330371745,RED,True,0.018637233485097958
2018dar_qm55,frc865,frc4645,frc3461,127.17169152116355,frc6823,frc1519,frc4905,154.03514099237685,0.6724415288772753,RED,False,0.45217760975880744
2018dar_qm56,frc176,frc5406,frc2501,217.69095818117265,frc494,frc1391,frc772,204.4950204411636,0.4125796768365143,RED,True,0.1702219897385226
2018dar_qm57,frc1018,frc6869,frc6590,131.03331120384695,frc5339,frc1418,frc6947,64.54775519686383,0.1442907145390517,RED,True,0.020819810302190107
2018dar_qm58,frc51,frc3117,frc2451,169.0734854978759,frc3844,frc2481,frc247,162.39498284979183,0.45541576328912736,BLUE,False,0.29657199087396374
2018dar_qm59,frc1625,frc3695,frc4122,139.11931870797554,frc3274,frc5492,frc5883,164.0321956076996,0.6608363457225676,BLUE,True,0.11503198438282172
2018dar_qm60,frc1711,frc865,frc4198,154.1691779564029,frc6193,frc857,frc3504,156.86746561960857,0.5180533024969499,RED,False,0.2683792242279963
2018dar_qm61,frc6823,frc5434,frc3130,156.75006028510202,frc5740,frc2501,frc2337,153.9682079457161,0.4813881042260346,BLUE,False,0.26895829843826635
2018dar_qm62,frc250,frc1391,frc2834,147.95541358355845,frc578,frc4028,frc494,193.9954495504453,0.7742885536628168,BLUE,True,0.05094565700762314
2018dar_qm63,frc4917,frc176,frc5914,206.68221255969058,frc4905,frc157,frc365,132.4640723070616,0.12056032831194932,RED,True,0.014534792762685008
2018dar_qm64,frc4645,frc3542,frc2194,129.9186859054249,frc234,frc3536,frc5036,183.1570462377406,0.806186213800955,BLUE,True,0.037563783720809124
2018dar_qm65,frc5234,frc111,frc3572,137.02972255026768,frc125,frc56,frc1519,223.7963996192389,0.9107731859163307,BLUE,True,0.007961424351521683
2018dar_qm66,frc4458,frc2791,frc78,188.04470034627042,frc177,frc4946,frc548,164.60596993907342,0.34806529569060857,BLUE,False,0.42501885868297373
2018dar_qm67,frc3535,frc5443,frc977,103.08920425556708,frc5406,frc3461,frc6936,144.41315286399796,0.7514606262208211,BLUE,True,0.061771820318546396
2018dar_qm68,frc4198,frc6869,frc250,119.02194818067761,frc176,frc2481,frc5883,257.28556852739126,0.9759177694366382,BLUE,True,0.0005799538289069164
2018dar_qm69,frc1711,frc5339,frc3695,103.76761105752591,frc3542,frc2337,frc494,220.57316101249876,0.9580081383207646,BLUE,True,0.0017633164472880393
2018dar_qm70,frc2501,frc111,frc578,151.43076284142472,frc4917,frc6947,frc3274,154.17980253381955,0.5183925630635903,BLUE,True,0.23194572331245789
2018dar_qm71,frc2451,frc6590,frc4458,168.07496136729026,frc6823,frc3572,frc2834,151.83438893747103,0.3929737858605594,BLUE,False,0.36848082465246196
2018dar_qm72,frc247,frc5434,frc56,153.76679875584554,frc3461,frc3504,frc4122,128.86505646284257,0.33923047576931004,RED,True,0.11507731569067245
2018dar_qm73,frc857,frc3130,frc1391,161.73128419281397,frc125,frc5914,frc5036,168.54319638311537,0.5454699795254917,BLUE,True,0.20659753951255694
2018dar_qm74,frc5740,frc2194,frc772,137.91295729834496,frc3844,frc6936,frc1625,102.18498630762807,0.2775615615182012,RED,True,0.0770404204324222
