Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018gal_qm1,frc3937,frc3598,frc2486,129.88573560788868,frc3965,frc6357,frc649,109.57185278769757,0.36728339406734645,RED,True,0.1348970915576297
2018gal_qm2,frc846,frc3653,frc6304,147.73732960138994,frc2659,frc6813,frc3103,111.02438686741957,0.2723045857587903,RED,True,0.07414978742526637
2018gal_qm3,frc4451,frc3933,frc3374,137.27260208795818,frc4587,frc4635,frc4910,223.34013524022296,0.9092402324128827,BLUE,True,0.008237335412467557
2018gal_qm4,frc1817,frc2468,frc4091,115.60888233845428,frc3006,frc4610,frc4924,51.93677108708944,0.15384294745849117,RED,True,0.023667652482716073
2018gal_qm5,frc1197,frc2682,frc1577,200.68112935276568,frc5817,frc330,frc5630,140.35046312132044,0.16585296363322433,BLUE,False,0.695801278279475
2018gal_qm6,frc6429,frc4613,frc1986,194.54420851572854,frc6168,frc4293,frc368,102.95194585157955,0.07926951695296902,RED,True,0.006283656317957043
2018gal_qm7,frc2789,frc5960,frc7277,64.0,frc2485,frc6999,frc6831,98.6819955643582,0.7167879733977018,BLUE,True,0.08020905201218084
2018gal_qm8,frc3005,frc5145,frc6026,145.40637597400513,frc3674,frc4256,frc4010,108.09445013711573,0.26913834353644583,BLUE,False,0.5341587608886502
2018gal_qm9,frc1574,frc3008,frc3526,179.32617943929893,frc6817,frc6886,frc5515,95.56453672747168,0.09598493561101872,RED,True,0.009213107864251408
2018gal_qm10,frc4201,frc6833,frc3230,122.49886912781918,frc4488,frc1311,frc5857,129.01438619121737,0.5435017480110907,BLUE,True,0.2083906540689297
2018gal_qm11,frc4205,frc7106,frc1939,69.32607625390091,frc647,frc6898,frc6824,75.70318798700258,0.5425821889326394,RED,False,0.29439543174693444
2018gal_qm12,frc4613,frc5190,frc4610,196.2078356489161,frc701,frc4587,frc330,180.36265655503024,0.39550195363754037,RED,True,0.15642179533111114
2018gal_qm13,frc4635,frc6831,frc3674,156.68295560289982,frc3006,frc1197,frc6813,95.63508170060811,0.16321337048401216,RED,True,0.02663860430475141
