Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018hop_qm1,frc5572,frc3970,frc6060,127.42344678119883,frc456,frc1828,frc3495,98.49155306759332,0.3154784787993287,RED,True,0.0995266705855385
2018hop_qm2,frc3506,frc2283,frc5839,136.46464961263075,frc3339,frc1706,frc5414,178.361780225379,0.7543157831738848,BLUE,True,0.060360734397461584
2018hop_qm4,frc6907,frc5242,frc4775,137.5596593539878,frc7140,frc7293,frc5496,151.09005446707206,0.5895888862611197,RED,False,0.34761505480262755
2018hop_qm5,frc1810,frc6885,frc6353,77.62532695364028,frc7039,frc6014,frc3284,140.24026414395442,0.8424362277403671,BLUE,True,0.02482634232868547
2018hop_qm6,frc2990,frc5291,frc4400,153.3848937037069,frc254,frc2583,frc6919,126.08932060029105,0.32501516767414623,BLUE,False,0.455604523869961
2018hop_qm7,frc399,frc1984,frc3489,162.1687212039669,frc148,frc3075,frc294,183.12540425695335,0.6367068755820272,BLUE,True,0.13198189424937265
2018hop_qm8,frc59,frc6050,frc3397,139.87841954766282,frc7173,frc1261,frc359,175.27358341473726,0.7206481261758027,RED,False,0.5193337217606956
2018hop_qm9,frc3223,frc973,frc2992,177.19978463485694,frc3711,frc2974,frc6705,183.3672027941708,0.5411884428400922,RED,False,0.2928849306636837
2018hop_qm10,frc5809,frc980,frc585,59.44196378277999,frc180,frc2976,frc3019,138.089370301794,0.891458369823541,BLUE,True,0.011781285481363198
2018hop_qm11,frc7034,frc6803,frc5801,122.71119974170361,frc4733,frc2096,frc7157,90.46374054167947,0.2966291897154136,RED,True,0.08798887619122282
2018hop_qm12,frc1706,frc1156,frc3075,194.20570397705762,frc6702,frc6907,frc7039,159.04010623966957,0.2805909212317167,RED,True,0.07873126507766344
2018hop_qm13,frc5572,frc6885,frc254,155.27504077470013,frc1984,frc6050,frc6025,124.0,0.30208990638004524,RED,True,0.0912583115367045
2018hop_qm14,frc4775,frc3506,frc3970,140.1580828526655,frc3223,frc2990,frc2974,170.37692815523297,0.6919148676329729,BLUE,True,0.09491644878560858
2018hop_qm15,frc5496,frc3495,frc294,127.42344678119885,frc6705,frc957,frc2583,142.69075814403826,0.6007930885265428,BLUE,True,0.1593661581681767
2018hop_qm16,frc980,frc3019,frc1810,89.17035418717632,frc6060,frc7157,frc5414,86.80868473046449,0.4841972856308417,BLUE,False,0.2660524401505916
2018hop_qm17,frc359,frc3284,frc4733,177.96584314513487,frc6702,frc585,frc148,128.1427130830406,0.20850233248071937,BLUE,False,0.6264685576884617
2018hop_qm18,frc6353,frc7293,frc1902,123.02438686741957,frc2992,frc1156,frc6803,177.9003677283404,0.8129453353850213,BLUE,True,0.03498944755422215
2018hop_qm19,frc2854,frc5291,frc3397,130.17062327375027,frc5242,frc5809,frc2283,92.95140320754118,0.26962686479830067,BLUE,False,0.5334449166243598
2018hop_qm20,frc456,frc399,frc2976,175.92469919163412,frc3339,frc6014,frc59,164.47767314829417,0.4239728236175245,RED,True,0.17975295516621653
2018hop_qm21,frc4400,frc973,frc7140,180.72757485442213,frc2096,frc180,frc1828,102.79469416906429,0.11040665184645843,BLUE,False,0.7913763250790283
2018hop_qm22,frc3489,frc3711,frc7034,123.3922636738449,frc6672,frc5839,frc1261,129.53472372804876,0.5410225133239636,BLUE,True,0.2106603332754512
2018hop_qm23,frc7173,frc6919,frc6907,145.37150049283673,frc5801,frc5854,frc5572,118.09483938777552,0.32512626171773495,BLUE,False,0.45545456262307915
2018hop_qm24,frc6705,frc148,frc4733,191.01276172438162,frc4775,frc2583,frc980,79.02194818067761,0.04749506353749307,RED,True,0.0022557810604305036
2018hop_qm25,frc3339,frc3223,frc5809,131.62624536157,frc957,frc3284,frc5242,133.678712838242,0.5137348606316752,BLUE,True,0.23645378576489637
2018hop_qm26,frc2990,frc7293,frc1984,146.84203607033885,frc4400,frc2283,frc7157,108.4866756941094,0.26367858930606003,BLUE,False,0.5421692198463138
2018hop_qm27,frc3711,frc3495,frc3397,127.48893850666767,frc6014,frc254,frc585,135.91400735643765,0.5561557972611492,BLUE,True,0.19699767630488613
2018hop_qm28,frc1706,frc1810,frc5496,144.57185278769757,frc2096,frc59,frc5854,97.77509222234818,0.22219025260082456,RED,True,0.04936850835081823
2018hop_qm29,frc6885,frc7140,frc359,166.76568524085002,frc5414,frc7173,frc2992,140.9741615441569,0.33391104972501107,BLUE,False,0.4436744896784367
2018hop_qm30,frc2974,frc6060,frc5839,122.00920813851661,frc5291,frc1156,frc399,200.6312791172307,0.8913927159829007,BLUE,True,0.011795542141570872
2018hop_qm31,frc6702,frc7034,frc1902,118.77442865461417,frc3019,frc973,frc3506,151.23838257276975,0.7045787628893141,BLUE,True,0.0872737073360081
2018hop_qm32,frc6672,frc6025,frc6919,129.07712716658125,frc3075,frc6803,frc3970,156.04022716336522,0.6730289372994608,RED,False,0.45296795044244154
2018hop_qm33,frc294,frc2854,frc6353,111.41856940771493,frc180,frc456,frc1261,170.16248936843098,0.8281858364317278,BLUE,True,0.029520106802664984
2018hop_qm34,frc1828,frc7039,frc2976,99.48707878062959,frc6050,frc3489,frc5801,123.25796996750643,0.6539500109108393,RED,False,0.4276506167702868
2018hop_qm35,frc6014,frc1984,frc2096,108.46374054167947,frc2990,frc359,frc980,183.92404281812193,0.8829216029481711,BLUE,True,0.013707351056225692
2018hop_qm36,frc3223,frc7140,frc5854,124.53046886708097,frc1156,frc4733,frc2283,157.42100809445688,0.7069505521401322,BLUE,True,0.08587797889097334
2018hop_qm37,frc5414,frc6705,frc5809,142.41507048084094,frc5572,frc1902,frc59,164.9733513882188,0.6465665548828459,BLUE,True,0.1249152001273804
2018hop_qm38,frc148,frc5496,frc6672,163.74220697487385,frc7157,frc3506,frc6353,104.60086218541969,0.1703053314012903,RED,True,0.02900390590370332
2018hop_qm39,frc5242,frc1828,frc1261,74.13322512752754,frc3019,frc6919,frc957,120.85005542679389,0.7774396764503848,BLUE,True,0.0495330976185094
2018hop_qm40,frc3397,frc6025,frc4775,143.56697541421363,frc2976,frc6060,frc294,109.77304879486093,0.2880636846246532,BLUE,False,0.5068533171502253
2018hop_qm41,frc6803,frc7173,frc2854,120.17767024740218,frc3339,frc2974,frc6702,169.75930643238866,0.7904286084051302,BLUE,True,0.04392016817501027
2018hop_qm42,frc3495,frc1706,frc3489,147.12175739471752,frc5291,frc6885,frc973,142.63291210044014,0.4699897537738233,BLUE,False,0.2809108611047324
2018hop_qm43,frc399,frc2583,frc180,150.71374843750294,frc3711,frc6907,frc6050,147.00226281255826,0.47517736665826105,RED,True,0.22579352978427947
2018hop_qm45,frc4400,frc456,frc7293,138.41369203423102,frc5801,frc5839,frc1810,120.56453672747168,0.3827486844737877,BLUE,False,0.3809991865188396
2018hop_qm46,frc7039,frc6803,frc4775,144.83822606722813,frc1828,frc5572,frc585,78.5247021896262,0.14486035758117563,BLUE,False,0.7312638080361947
2018hop_qm48,frc2976,frc5809,frc2583,70.60513329442657,frc359,frc6353,frc1706,190.8728105151158,0.9615828327615366,BLUE,True,0.001475878738628069
