2018iri
Match Key,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red DP,Blue DP,Prediction,Blue Win %,Winner,Correct,Component Brier Score
2018iri_qm1,2834,2337,1218,2013,3707,1640,214.33825215091156,250.44974385521468,BLUE,0.7387288691314808,RED,False,0.5457203420882766
2018iri_qm2,694,1706,1619,3940,384,359,265.0539682829428,220.4565284549572,RED,0.216935073967399,RED,True,0.04706082631724087
2018iri_qm3,4587,4265,3452,1024,2826,88,224.48388357049896,205.95341972490007,RED,0.3697359811388176,BLUE,False,0.3972327334710488
2018iri_qm4,2791,2590,829,3478,1102,1731,250.64861467309544,226.9383468194574,RED,0.3357177479698397,BLUE,False,0.44127091036226146
2018iri_qm5,4967,1741,865,319,118,1747,193.38680573572324,286.4355088185913,BLUE,0.9357253657495498,RED,False,0.8755819601071287
2018iri_qm6,1746,2771,133,868,2056,5406,226.42207055966543,297.81003561970704,BLUE,0.8864227543240996,BLUE,True,0.012899790735323845
2018iri_qm7,2614,3357,1533,195,3847,2168,305.77887582047765,250.25863560636876,RED,0.16826119256177216,RED,True,0.02831182892230977
2018iri_qm8,2481,2363,234,2655,624,4028,200.95740827280127,228.74736724266592,BLUE,0.6899443865952498,BLUE,True,0.0961344834037959
2018iri_qm9,469,33,494,1806,708,2451,234.84156195834603,222.27724687521186,RED,0.41056503229411306,RED,True,0.1685636457426661
2018iri_qm10,1710,3538,1720,6800,2468,217,202.69292589778397,194.10441665497638,RED,0.4385134916571653,RED,True,0.19229408236535878
2018iri_qm11,302,3641,4499,225,20,245,229.04144358392523,223.88527885358116,RED,0.46296635787274604,RED,True,0.21433784852195556
2018iri_qm12,1533,67,5254,2337,340,4944,271.8685588002401,226.86646992718354,RED,0.21496311690028366,RED,True,0.04620914162748502
2018iri_qm13,4967,868,195,1706,1218,384,262.1607002814603,220.518426267451,RED,0.23173130688451213,RED,True,0.053699398590403936
2018iri_qm14,2451,4587,2771,359,2590,624,231.4302758168103,283.6131530206829,BLUE,0.817864228902776,RED,False,0.6689018969187324
2018iri_qm15,4028,319,708,1640,1746,118,227.88257895139407,253.47248505527804,BLUE,0.6762380650146032,RED,False,0.45729792057469465
2018iri_qm16,1720,3452,245,2834,469,2791,204.79501016844625,194.0150253206936,RED,0.4230481272111213,BLUE,False,0.3328734635145945
