Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018new_qm1,frc687,frc2403,frc968,183.3432318936362,frc1982,frc5654,frc1251,138.67433670668166,0.2321918450260999,BLUE,False,0.5895293628444246
2018new_qm2,frc1011,frc1648,frc6474,186.37658888528247,frc7128,frc3853,frc3128,146.10956396100772,0.2538621052952679,RED,True,0.0644459685049457
2018new_qm3,frc3472,frc5802,frc6377,156.97091270147683,frc2905,frc971,frc3309,166.1571593563009,0.5611805953415278,BLUE,True,0.192562469904816
2018new_qm4,frc3501,frc5663,frc4576,118.78592639384878,frc7303,frc7190,frc604,137.86378742721107,0.6249928999851704,RED,False,0.3906161250318732
2018new_qm5,frc6871,frc3737,frc4468,110.73812518686377,frc4270,frc5700,frc4513,123.71492148195819,0.5859976008961966,RED,False,0.3433931882560981
2018new_qm6,frc2840,frc5849,frc6814,86.09005446707206,frc5104,frc3473,frc2367,121.26772471447427,0.7194743217105188,BLUE,True,0.07869465617977348
2018new_qm7,frc832,frc6645,frc7067,123.53102692463958,frc6510,frc5554,frc1678,192.23618448320173,0.8628929627554762,BLUE,True,0.01879833966197123
2018new_qm8,frc118,frc5098,frc5726,164.47483460484096,frc6508,frc624,frc7137,137.64257187832274,0.32774241831261447,BLUE,False,0.45193025613617177
2018new_qm9,frc3158,frc3481,frc4125,126.82539422381524,frc5997,frc3140,frc2980,103.44078955269785,0.3483942089901359,RED,True,0.12137852485786249
2018new_qm10,frc1619,frc6424,frc6844,145.72160174773109,frc4061,frc3164,frc7134,91.16192577909693,0.18834589268874896,RED,True,0.03547417529272174
2018new_qm11,frc3310,frc1700,frc5199,134.81031326126833,frc1868,frc812,frc1723,140.35046312132044,0.537015487375367,RED,False,0.28838563368100295
2018new_qm12,frc6891,frc1982,frc7303,82.16791550043436,frc2905,frc5849,frc7067,95.173633337927,0.58618544970358,RED,False,0.3436133814441883
2018new_qm13,frc5554,frc4576,frc971,161.56814044938272,frc2403,frc6871,frc1648,182.06758343857524,0.6338703921983482,BLUE,True,0.13405088970899137
2018new_qm14,frc2840,frc5104,frc1678,165.33726734881452,frc7128,frc3309,frc5726,141.66560628870758,0.34665146964048016,BLUE,False,0.4268643021229445
2018new_qm15,frc4061,frc3481,frc3501,138.88507028345975,frc3158,frc118,frc6474,166.40916700518846,0.6763256813759889,BLUE,True,0.10476506453671784
2018new_qm16,frc4270,frc1619,frc5098,141.15643531747665,frc4513,frc3310,frc5654,226.07049799496482,0.906659252197325,BLUE,True,0.008712495200362574
2018new_qm17,frc1723,frc968,frc1011,175.34079320689423,frc6377,frc4125,frc6814,78.10468840619438,0.06891842607050087,RED,True,0.004749749452035094
