Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018roe_qm1,frc3390,frc3239,frc2383,136.7151955735209,frc1515,frc5472,frc2576,122.15444998982588,0.4037526948327701,BLUE,False,0.3555108489191838
2018roe_qm2,frc6348,frc1710,frc2521,137.37092492547765,frc3316,frc7327,frc5212,101.05049661755454,0.2743920253770869,RED,True,0.0752909835905399
2018roe_qm3,frc6390,frc4802,frc7152,107.78104902036486,frc4191,frc488,frc3476,136.8307854274806,0.6852024843542183,BLUE,True,0.0990974758567562
2018roe_qm4,frc6957,frc6887,frc1775,43.87934747794811,frc1072,frc2584,frc4159,135.25796996750643,0.9203119939559959,BLUE,True,0.006350178307269227
2018roe_qm5,frc5437,frc2073,frc5410,54.40809062192287,frc7193,frc3250,frc3792,125.00884580258264,0.8687876732980662,BLUE,True,0.017216674678535018
2018roe_qm6,frc2522,frc6652,frc6459,60.065664576870184,frc2352,frc3646,frc4980,161.96181573915956,0.9386698666086498,BLUE,True,0.0037613852618008066
2018roe_qm7,frc2080,frc6996,frc1178,123.39174385355341,frc1540,frc4188,frc7081,119.137563014124,0.4715551261672772,BLUE,False,0.2792539846800823
2018roe_qm8,frc1763,frc972,frc5678,81.24089916031275,frc7312,frc1323,frc3882,144.96115795450902,0.8463247884794066,BLUE,True,0.023616070635899118
2018roe_qm9,frc5985,frc2906,frc3959,168.53651990256458,frc3288,frc1730,frc668,110.80299720104247,0.17569783468855837,RED,True,0.030869729114247985
2018roe_qm10,frc4401,frc4522,frc7102,110.16908433648041,frc3880,frc1983,frc6106,145.18084115137205,0.7185768730522738,RED,False,0.5163527224855836
2018roe_qm11,frc7018,frc6024,frc179,174.88329692114672,frc5429,frc1002,frc6072,99.36643782474454,0.11692195651520049,BLUE,False,0.7798268308849415
2018roe_qm12,frc1515,frc1778,frc6459,106.4995906318538,frc2080,frc5437,frc3316,104.21109605776304,0.48468661192457363,BLUE,False,0.26554788792977496
2018roe_qm13,frc7193,frc6390,frc3239,136.25309259402252,frc5678,frc6996,frc4159,92.78104902036486,0.23795370746165312,BLUE,False,0.5807145519714397
2018roe_qm14,frc4188,frc3390,frc3288,119.86786427568458,frc7312,frc4980,frc3476,127.1758893453108,0.5487612423000556,BLUE,True,0.20361641645058912
2018roe_qm15,frc7327,frc5985,frc1072,137.18986368111197,frc6652,frc488,frc3646,112.82346936725475,0.34245074928092994,BLUE,False,0.4323710171212105
2018roe_qm16,frc7018,frc5212,frc3882,112.71050404722844,frc668,frc2906,frc3880,97.74571613523187,0.40115115916730415,RED,True,0.1609222525012718
