Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018tes_qm1,frc3098,frc5090,frc319,208.54068320047168,frc525,frc3038,frc1241,207.72600863957155,0.4945471420666665,BLUE,False,0.2554825915929746
2018tes_qm2,frc2474,frc527,frc321,111.0547780886165,frc708,frc573,frc6618,150.68110901770282,0.742874934602873,BLUE,True,0.06611329925547683
2018tes_qm3,frc1792,frc4531,frc4039,140.2580068171966,frc291,frc1506,frc5114,189.83430069094015,0.7904049132742095,BLUE,True,0.04393010037959165
2018tes_qm4,frc4472,frc1073,frc3258,128.15006490734885,frc2614,frc340,frc2869,190.0551799090493,0.8398971109652698,BLUE,True,0.025632935077267147
2018tes_qm5,frc6090,frc4391,frc533,184.5834316205724,frc2168,frc2169,frc2590,218.32638079718842,0.7116563202185331,BLUE,True,0.08314207766991713
2018tes_qm6,frc3770,frc3546,frc2609,135.0166048036154,frc1310,frc4939,frc238,186.27304030444378,0.7977599493804935,RED,False,0.6364209368355677
2018tes_qm7,frc743,frc1720,frc4680,108.89270856207708,frc1712,frc3197,frc7226,148.53439985884856,0.7429534826850313,BLUE,True,0.06607291206375453
2018tes_qm8,frc6574,frc5528,frc6802,120.69446950575781,frc85,frc4678,frc5980,170.96688701261195,0.7934758969504782,BLUE,True,0.042652205140409516
2018tes_qm9,frc1676,frc3667,frc597,137.28272480239264,frc3550,frc5567,frc314,121.74615603588558,0.39747912315773504,BLUE,False,0.3630314070307718
2018tes_qm10,frc5172,frc3623,frc7068,128.3652865449754,frc6911,frc4618,frc4810,94.62334540838167,0.28834921810395975,RED,True,0.08314527158116494
2018tes_qm11,frc3641,frc2056,frc6077,244.39733823721502,frc1360,frc5675,frc1729,182.6044443681561,0.16050733505988918,RED,True,0.02576260460802753
2018tes_qm12,frc4039,frc533,frc2500,123.51172911400188,frc4531,frc2609,frc527,131.86967783436435,0.5557121469852356,RED,False,0.3088159903069401
2018tes_qm13,frc6802,frc1241,frc3770,176.33584827475124,frc1506,frc573,frc743,138.70265237365018,0.26744971546846064,RED,True,0.07152935030416055
2018tes_qm14,frc3546,frc597,frc2869,113.09534426704025,frc6090,frc3098,frc4680,183.89287166598217,0.8693870851389482,BLUE,True,0.017059733528500355
2018tes_qm15,frc3667,frc1792,frc3258,105.10884411210782,frc2590,frc4618,frc5090,185.31007840694184,0.8954187793168633,RED,False,0.8017747903533016
2018tes_qm16,frc1310,frc7226,frc3623,124.59740818257636,frc319,frc6618,frc6574,181.18212037018083,0.8198029397083997,BLUE,True,0.03247098053773464
2018tes_qm17,frc321,frc4391,frc1720,133.84813079574488,frc4939,frc4678,frc3641,198.25959093556543,0.8487163181280527,BLUE,True,0.022886752400732555
2018tes_qm18,frc708,frc3038,frc1360,179.29877016344113,frc5528,frc1712,frc2168,200.80476393152142,0.6401019703237011,BLUE,True,0.12952659176488213
2018tes_qm19,frc2500,frc2056,frc340,188.7922287126475,frc5980,frc525,frc2614,188.8204740990538,0.5001890622168179,RED,False,0.25018909796133976
2018tes_qm20,frc4472,frc5675,frc5567,145.52789489619133,frc3197,frc5114,frc5172,193.25518185310648,0.7820856365716935,BLUE,True,0.04748666978836404
2018tes_qm21,frc6077,frc1676,frc314,169.45749359039752,frc4810,frc238,frc2169,137.53439004830344,0.2984442953907756,RED,True,0.08906899745129652
2018tes_qm22,frc1073,frc291,frc2474,150.9870521019651,frc3550,frc1729,frc7068,92.14385359322247,0.1714362604575272,RED,True,0.0293903913996611
2018tes_qm23,frc6911,frc319,frc2609,166.79027421663068,frc85,frc3098,frc527,190.37648025513914,0.6528301542188828,BLUE,True,0.1205269018196847
2018tes_qm24,frc6090,frc2056,frc3667,208.44250978319343,frc3038,frc1712,frc1310,155.2496721475436,0.1940043003775071,RED,True,0.037637668564966004
2018tes_qm25,frc2168,frc597,frc1792,159.9181823851274,frc5172,frc2500,frc3770,133.81817654450424,0.33207657188673223,RED,True,0.11027484959604404
2018tes_qm26,frc4810,frc1720,frc573,121.77521520871075,frc5980,frc2869,frc1360,154.8092935917068,0.7077461099808701,BLUE,True,0.0854123362313137
2018tes_qm27,frc291,frc4680,frc533,142.04221510626607,frc4618,frc3641,frc340,217.17767376283143,0.8820195406164859,BLUE,True,0.013919388796345019
2018tes_qm28,frc3258,frc3623,frc4939,133.07667720083487,frc4678,frc1676,frc1241,202.72340706793625,0.865848318201208,BLUE,True,0.01799667372944434
2018tes_qm29,frc6802,frc238,frc708,163.01646411562638,frc525,frc4472,frc4039,192.40083632542166,0.6871318605668635,RED,False,0.47215019380607953
2018tes_qm30,frc5675,frc3197,frc6574,140.16855309507307,frc2590,frc321,frc7068,130.33719247807937,0.4345705422313591,RED,True,0.18885155617525748
2018tes_qm31,frc1073,frc5528,frc5567,127.69822995241654,frc6618,frc314,frc4531,146.12438310265333,0.6208944279767152,RED,False,0.38550989069253244
2018tes_qm32,frc7226,frc1506,frc2614,169.91946050430727,frc2474,frc5114,frc6077,187.12761897259907,0.6131886321019107,RED,False,0.37600029853901235
2018tes_qm33,frc2169,frc1729,frc5090,113.80681597304918,frc3546,frc3550,frc6911,95.24375027353895,0.3782430990071844,BLUE,False,0.38658164393218997
2018tes_qm34,frc238,frc4391,frc743,173.784774297942,frc4618,frc2869,frc85,150.4295677052117,0.3485729169303766,BLUE,False,0.424357244556598
