Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018tur_qm1,frc3478,frc2046,frc7287,192.89822193530017,frc5716,frc1102,frc3593,174.919044276946,0.3819265680740019,RED,True,0.1458679034007852
2018tur_qm2,frc1318,frc6822,frc4698,121.29309196056673,frc2122,frc2471,frc3847,250.03170732459643,0.9691379371951768,BLUE,True,0.0009524669205688501
2018tur_qm3,frc1806,frc364,frc4561,221.07979298519922,frc6952,frc7057,frc2630,86.96330403329597,0.02683444822953967,RED,True,0.0007200876117838446
2018tur_qm4,frc5045,frc5449,frc5908,113.79324245407464,frc2231,frc3512,frc120,162.88641017072143,0.7882539304998739,BLUE,True,0.04483639794875223
2018tur_qm5,frc6314,frc5453,frc4941,160.46146669705269,frc987,frc2341,frc2557,159.65114099257744,0.49457624796014293,BLUE,False,0.2554531691260469
2018tur_qm6,frc4189,frc2102,frc5468,156.2401263645531,frc4984,frc5417,frc1296,137.27260208795818,0.37569974724745964,RED,True,0.14115030008180504
2018tur_qm7,frc2637,frc6131,frc5584,116.47935963388352,frc6445,frc3663,frc1744,121.96719942153146,0.5366672476773664,BLUE,True,0.21467723937486693
2018tur_qm8,frc568,frc2655,frc5344,110.84065643674366,frc360,frc2848,frc5986,150.09659613544218,0.740976123427784,BLUE,True,0.0670933686344986
2018tur_qm9,frc1538,frc2658,frc7063,127.88329692114672,frc4146,frc3218,frc2130,158.94290490794697,0.6966926199375345,BLUE,True,0.09199536680035689
2018tur_qm10,frc2478,frc842,frc2059,234.24306334355464,frc7179,frc6941,frc7079,151.0071173807802,0.09721322515928144,RED,True,0.009450411145869149
2018tur_qm11,frc6888,frc4627,frc2642,151.3015426162565,frc5818,frc5522,frc1533,218.86394791586605,0.85923279689314,BLUE,True,0.01981540547052797
2018tur_qm13,frc3512,frc6445,frc2341,127.5172126264704,frc2848,frc2122,frc4189,210.11770352503936,0.9012833264820925,BLUE,True,0.009744981630441135
2018tur_qm14,frc5468,frc5344,frc4984,132.83120145075227,frc5716,frc7287,frc7063,74.0,0.17148189213532444,RED,True,0.029406039330311048
2018tur_qm15,frc1744,frc2046,frc4698,169.5137941419726,frc2102,frc842,frc120,154.508623874787,0.40089144975406316,BLUE,False,0.35893105497778816
2018tur_qm16,frc2658,frc5045,frc1533,177.55981984264275,frc1806,frc6131,frc2557,184.88960146614824,0.5489054820037784,BLUE,True,0.20348626416624346
2018tur_qm17,frc1102,frc4941,frc2637,178.38602661213474,frc5986,frc6952,frc568,81.17477820156904,0.06896114328970668,BLUE,False,0.8668333527044101
2018tur_qm19,frc2471,frc7079,frc5449,179.85800252048034,frc6888,frc4561,frc1538,182.0826539263822,0.5148864396856037,BLUE,True,0.23533516640090946
2018tur_qm20,frc6822,frc5522,frc2478,127.09737052729794,frc4146,frc360,frc987,154.4056015821494,0.6750591774595365,BLUE,True,0.10558653815327301
2018tur_qm22,frc3218,frc2630,frc6314,135.71878394687295,frc2059,frc5818,frc2231,220.4602501992806,0.9062674376653094,BLUE,True,0.008785793241826665
2018tur_qm23,frc2102,frc5584,frc2642,181.20131114777558,frc568,frc4189,frc3593,132.6292229564346,0.21408407617385963,RED,True,0.04583199167121493
2018tur_qm24,frc4984,frc5908,frc842,171.65702988128572,frc1318,frc3478,frc2848,209.70678399479775,0.734729715332114,BLUE,True,0.07036832392778129
2018tur_qm26,frc2637,frc1296,frc4627,110.80299720104247,frc2557,frc4561,frc4146,208.98628831616082,0.932691220884021,BLUE,True,0.004530471746083649
2018tur_qm27,frc6888,frc120,frc1806,129.0540733627641,frc6445,frc2231,frc3847,170.3670424960625,0.7514057186350934,BLUE,True,0.06179911672733434
2018tur_qm28,frc2658,frc7179,frc2046,200.29240447559553,frc2630,frc5045,frc2642,179.38600484744865,0.3636045961794115,BLUE,False,0.40499911000397
2018tur_qm29,frc2130,frc2341,frc6131,114.49643044107722,frc360,frc2059,frc2471,224.20987717025235,0.9496691155980127,RED,False,0.9018714291207116
2018tur_qm30,frc6822,frc6941,frc5716,101.47692094714156,frc1102,frc1538,frc5453,217.98552708363098,0.9576871362227225,BLUE,True,0.0017903784410344423
2018tur_qm31,frc987,frc7287,frc7079,130.6859185003632,frc3663,frc3218,frc364,154.62403611635295,0.6549625354750201,BLUE,True,0.11905085192582673
2018tur_qm32,frc3512,frc2655,frc6952,146.62459750294167,frc1744,frc5818,frc5417,151.43076284142472,0.5321260435851087,RED,False,0.283158126261541
2018tur_qm33,frc7063,frc3593,frc5986,105.45189581506988,frc4603,frc1533,frc6314,166.47952012253853,0.8367125695791351,BLUE,True,0.0266627849334488
