Team,Price
33,39
48,13
51,18
88,24
107,29
111,22
118,30
195,47
217,36
225,34
234,18
319,28
330,49
340,20
364,28
461,17
548,25
868,24
910,36
930,36
1023,24
1024,11
1073,15
1114,66
1241,35
1410,13
1676,17
1684,27
1690,45
1718,22
1720,16
1730,10
1747,19
1807,28
1923,19
2056,76
2075,29
2168,40
2337,25
2403,19
2468,37
2481,38
2614,33
2767,37
2910,53
3357,20
3478,11
3538,55
3604,19
3641,28
3707,34
3847,35
3940,14
4028,18
4265,18
4362,40
4607,20
4776,20
5010,21
5190,32
5205,13
5406,38
5460,46
5511,14
5801,15
6443,22
7457,18
7498,20
