Event,Team,Rank,Qual,Alliance #,Alliance Pick,Playoff Level,Awards
abca,frc2122,1,1,1,1,30,5
abca,frc359,2,4,1,2,30,0
abca,frc3250,3,2,2,1,20,5
abca,frc2130,4,5,2,2,20,5
abca,frc1622,5,3,3,1,10,10
abca,frc3216,6,10,3,2,10,5
abca,frc6679,7,6,4,1,10,0
abca,frc4733,8,32,1,3,30,0
abca,frc4334,9,15,4,2,10,0
abca,frc4775,10,8,5,2,0,8
abca,frc6106,11,21,3,3,10,10
abca,frc6188,12,7,5,1,0,0
abca,frc5630,13,33,2,3,20,0
abca,frc6351,14,17,4,3,10,0
abca,frc3011,15,9,6,1,0,0
abca,frc5787,16,11,7,1,0,0
abca,frc5015,17,18,6,2,0,0
abca,frc5078,18,12,8,1,0,0
abca,frc6364,19,26,8,2,0,5
abca,frc4627,20,31,7,2,0,5
abca,frc5725,21,16,8,3,0,0
abca,frc5118,22,13,5,3,0,0
abca,frc1482,23,19,7,3,0,0
abca,frc6841,24,14,6,0,0,5
abca,frc7277,25,22,-1,-1,0,8
abca,frc6435,26,23,-1,-1,0,5
abca,frc4010,27,24,-1,-1,0,5
abca,frc6701,28,30,6,3,0,0
abca,frc6979,29,20,-1,-1,0,0
abca,frc4604,30,25,-1,-1,0,0
abca,frc7246,31,34,-1,-1,0,5
abca,frc6041,32,28,-1,-1,0,0
abca,frc6178,33,27,-1,-1,0,0
abca,frc6700,34,29,-1,-1,0,0
abca,frc7205,35,35,-1,-1,0,0
alhu,frc2556,1,1,1,1,30,5
alhu,frc3792,2,3,1,2,30,0
alhu,frc3959,3,2,2,1,20,5
alhu,frc342,4,8,2,2,20,0
alhu,frc3844,5,13,1,3,30,5
alhu,frc4087,6,4,3,1,10,0
alhu,frc141,7,19,3,2,10,5
alhu,frc4451,8,5,4,1,10,0
alhu,frc4965,9,9,4,2,10,0
alhu,frc7072,10,36,2,3,20,5
alhu,frc1319,11,7,5,2,0,5
alhu,frc4533,12,6,5,1,0,5
alhu,frc6366,13,14,6,2,0,5
alhu,frc2468,14,15,6,3,0,10
alhu,frc5410,15,28,3,3,10,5
alhu,frc3593,16,16,7,2,0,5
alhu,frc5045,17,18,4,3,10,0
alhu,frc2815,18,10,6,1,0,0
alhu,frc4740,19,11,7,1,0,0
alhu,frc7026,20,12,8,1,0,0
alhu,frc34,21,26,8,2,0,5
alhu,frc1369,22,17,8,3,0,0
alhu,frc7111,23,21,-1,-1,0,8
alhu,frc6404,24,23,7,3,0,0
alhu,frc547,25,24,5,3,0,0
alhu,frc5721,26,30,-1,-1,0,5
alhu,frc4924,27,38,-1,-1,0,8
alhu,frc2973,28,20,-1,-1,0,0
alhu,frc3966,29,22,-1,-1,0,0
