Event,Team,DP Rank,Qual Rank,Alliance #,Alliance Pick,Qual DP,Alliance DP,Playoff DP,Awards DP,Total DP,,,,
2018abca,frc2122,1,1,1,1,22,16,30,5,73,1,1,68%,68%
2018abca,frc359,2,4,1,2,19,16,30,0,65,4,4,70%,64%
2018abca,frc3250,3,2,2,1,21,15,20,5,61,2,2,48%,38%
2018abca,frc2130,4,5,2,2,18,15,20,5,58,5,,52%,35%
2018abca,frc3216,5,10,3,2,16,14,10,5,45,,,24%,8%
2018abca,frc6679,6,6,4,1,18,13,10,0,41,,,29%,11%
2018abca,frc4733,7,32,1,3,7,1,30,0,38,,32,21%,11%
2018abca,frc4334,8,15,4,2,14,13,10,0,37,,,10%,5%
2018abca,frc4775,9,8,5,2,17,12,0,8,37,,,8%,3%
2018abca,frc6188,10,7,5,1,17,12,0,0,29,,,8%,5%
2018abca,frc5630,11,33,2,3,6,2,20,0,28,,,8%,3%
2018abca,frc6351,12,17,4,3,13,4,10,0,27,,,6%,2%
2018abca,frc3011,13,9,6,1,16,11,0,0,27,,,11%,6%
2018abca,frc5787,14,11,7,1,15,10,0,0,25,,,2%,3%
2018abca,frc5015,15,18,6,2,13,11,0,0,24,,,2%,0%
2018abca,frc5078,16,12,8,1,15,9,0,0,24,,,5%,10%
2018abca,frc6364,17,26,8,2,10,9,0,5,24,,,6%,6%
2018abca,frc4627,18,31,7,2,7,10,0,5,22,,,3%,3%
2018abca,frc5725,19,16,8,3,13,8,0,0,21,,,3%,6%
2018abca,frc5118,20,13,5,3,15,5,0,0,20,,,3%,6%
2018abca,frc1482,21,19,7,3,12,7,0,0,19,,,2%,3%
2018abca,frc6841,22,14,6,0,14,0,0,5,19,,,3%,5%
2018abca,frc7277,23,22,-1,-1,11,0,0,8,19,,,0%,0%
2018abca,frc6435,24,23,-1,-1,11,0,0,5,16,,,0%,2%
2018abca,frc4010,25,24,-1,-1,10,0,0,5,15,,,2%,3%
2018abca,frc6701,26,30,6,3,8,6,0,0,14,,,3%,6%
2018abca,frc6979,27,20,-1,-1,12,0,0,0,12,,,0%,2%
