Event,Mean,StDev,Score
2019cmptx,83.58610655091381,23.58687233416539,3.543755414737207
2019cmpmi,64.80650941399232,27.852970506502867,2.3267360082423476
2019vahay,32.82274700449164,22.944220500565894,1.4305453089453224
2019pawch,33.313770103232294,24.06389129213483,1.3843883226866447
2019ctwat,32.98252184133672,24.58211571380787,1.3417283615994986
2019isde2,31.946747266959175,24.369497627870377,1.3109317128648157
2019mabri,32.852394301182706,25.964798248180344,1.2652666886593296
2019wamou,32.05823173060834,25.62391852058504,1.251105747345172
2019mishe,19.624945430882047,15.744180090597869,1.246488881475746
2019njtab,29.882103958456632,24.220153386230017,1.233770219450618
2019qcqc,17.992734330625172,14.756422349412516,1.2193154888482507
2019pahat,27.090565843866663,22.734299216160775,1.1916164904088715
2019orwil,27.032432969003565,22.881013718256145,1.1814351104311045
2019isde4,30.94808804838352,26.356482304003343,1.1742116300430103
2019marea,21.777556021970888,18.784979552014406,1.1593068792899257
2019caln,21.220369155243464,18.5399994399188,1.144572265172431
2019gaalb,24.117965054744804,21.217587024900055,1.1366968838841565
2019milsu,22.089660593354786,19.612136562021497,1.1263260646538105
2019macma,29.142647443006116,25.93488761545898,1.1236851254229105
2019vagle,25.236432853708106,22.73335398035714,1.1101060087971957
2019melew,28.043184444606762,25.306792360237527,1.1081287602718353
2019mdoxo,28.806401778891985,26.08348509186388,1.1043923646490572
2019orore,28.639918306760514,26.475539757596025,1.0817501198835242
2019njfla,27.333035957950525,25.41632689797587,1.07541251210958
2019wasno,27.290881286036168,25.86814807534809,1.0549994227087296
2019ohmv,19.311380716812643,18.38672743820215,1.0502891709097366
2019isde3,27.853487417817046,26.641499239746917,1.0454924915134634
2019rismi,27.40133984554506,26.379993355573347,1.0387167076278254
2019cadm,23.022034036920047,22.305671604309204,1.0321157078486016
2019ohcl,19.416325618271102,18.860375364983483,1.0294771574016393
2019mnmi,19.01438744293338,18.56281900930976,1.024326500915467
2019nyut,34.4828306637124,33.7690215020566,1.0211379877149334
2019milan,19.561483787199958,19.16482170442634,1.0206974053237345
2019mimid,23.0893987235932,22.694531350955522,1.0173992300846102
2019mike2,26.977339594537618,26.548701170287927,1.016145363251495
2019ncash,28.804043244776146,28.360146583695773,1.0156521285872186
2019isde1,29.063725362964323,28.743360317137082,1.0111457060793354
2019mokc3,24.13341171556992,23.89112683074797,1.010141207927879
2019vabla,22.86663784415468,22.64499184398237,1.0097878595717493
2019mndu,16.489629974158056,16.374407106369674,1.0070367657918777
2019paphi,27.246603123976755,27.28979362872653,0.9984173385355207
2019orlak,25.151889665893393,25.30946100000185,0.9937742121766858
2019waspo,29.553537763399248,29.84552634797918,0.9902166716319378
2019njbri,22.52791902297885,22.813005235832307,0.9875033468889196
2019vapor,21.415158081731022,21.936495843100822,0.9762342278776597
2019mdbet,22.407743618571843,23.004384506905385,0.9740640360034651
2019milin,26.578476782983994,27.907993864810063,0.9523607075353957
2019wayak,28.931194746842763,30.413652755931686,0.9512568246574791
2019nhsnh,20.53654310759074,21.656184529609572,0.9482992296963487
2019ilpe,21.349101717620886,22.553092139573426,0.9466152838599048
2019misjo,30.358451921425992,32.154575181915924,0.9441409737081493
2019njski,25.68155101718482,27.284089504078096,0.9412647254857543
2019migul,22.668460163876905,24.127811967348084,0.939515783468219
2019mokc,23.392302161087486,24.923680968695713,0.9385572777339091
2019midet,13.432619484218158,14.34671300251414,0.9362855088733012
2019waamv,24.293396641519735,26.004504090515383,0.9341995739261284
2019mdowi,22.868244730212876,24.643002782665352,0.9279812582863929
2019ncgui,24.58037835230468,26.559690205196762,0.9254768471469293
2019mibel,22.82342643633567,24.712776760073577,0.9235476311674381
2019nhgrs,24.5973737706386,26.738299993272634,0.9199303537183482
2019nhdur,19.311233515339385,21.111405767189662,0.914729872955783
2019mnmi2,14.314681297526972,15.972223461874798,0.8962234551561136
2019wila,21.228915109602358,23.693060866355207,0.8959971541603557
2019paben,27.276484419329297,30.536301028727223,0.8932478230964768
2019okok,19.223941426512702,21.57337158952102,0.8910958283335961
2019scmb,18.418571953044808,20.68562012810162,0.8904046308006496
